song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
sia_snowman,55,10,45,6,bvii,C,0
aaron-lewis_travelin-soldier,52,48,4,5,I,A,19
alt-j_breezeblocks,86,84,2,4,I,F,33
alt-j_left-hand-free,203,203,0,3,V,A#,68
andreas-bourani_auf-uns,85,85,0,4,V,C,23
arctic-monkeys_arabella,128,126,2,7,vi,G,35
arctic-monkeys_do-i-wanna-know,54,0,54,3,vi,Em,0
arctic-monkeys_i-wanna-be-yours,63,63,0,5,i,Cm,18
beach-bunny_prom-queen,0,0,0,0,,B,0
bethel-music_ever-be,53,53,0,6,I,D,12
big-thief_masterpiece,110,110,0,4,IV,E,37
big-thief_shark-smile,101,101,0,5,V,A,17
birdy_skinny-love,74,74,0,3,ii,B,26
boygenius_me-and-my-dog,49,49,0,3,"V,I",C,17
brandi-carlile_the-joke,67,40,27,5,IV,D,19
bring-me-the-horizon_drown,67,49,18,3,iii,A,22
cage-the-elephant_cigarette-daydreams,83,83,0,6,IV,D,20
cage-the-elephant_telescope,78,73,5,9,iii,C,17
cage-the-elephant_trouble,118,90,28,6,IV,C,22
cavetown_boys-will-be-bugs,145,71,74,7,I,G#,39
cavetown_fool,39,39,0,4,IV,C#,6
cavetown_juliet,120,117,3,6,IV,Db,26
cavetown_lemon-boy,94,71,23,7,IV,E,20
cavetown_meteor-shower,82,74,8,7,V,F,17
chet-faker_talk-is-cheap,103,103,0,4,"IV,I",A#,29
chris-cornell_like-a-stone,110,78,32,8,ii,F,23
cigarettes-after-sex_k,81,81,0,4,IV,D#,19
clairo_pretty-girl,34,34,0,2,ii,C,0
dayglow_can-i-call-you-tonight,48,48,0,3,I,A,24
demi-lovato_sober,50,50,0,4,VI,Bbm,10
die-toten-hosen_tage-wie-diese,62,59,3,6,I,G,27
eddie-vedder_tonight-you-belong-to-me,25,18,7,5,IV,D,6
family-of-the-year_hero,51,51,0,5,I,C,15
foo-fighters_walk,51,10,41,6,II,Dm,10
fun-_some-nights,62,62,0,3,I,C,29
girl-in-red_bad-idea,50,34,16,3,I,E,25
girl-in-red_girls,36,0,36,3,#IV,E,0
green-day_ordinary-world,87,87,0,4,V,G,18
greta-van-fleet_youre-the-one,49,49,0,3,IV,D,16
grouplove_tongue-tied,77,77,0,6,I,Eb,27
harry-styles_ever-since-new-york,119,119,0,4,ii,Bb,3
harry-styles_fine-line,72,72,0,4,vi,D,22
harry-styles_kiwi,109,78,31,5,IV,D,26
harry-styles_sunflower-vol-6,114,111,3,7,I,F,36
harry-styles_to-be-so-lonely,32,32,0,5,I,G,10
harry-styles_two-ghosts,77,77,0,6,ii,E,14
hillsong-united_so-will-i-100-billion-x,125,125,0,4,vi,A,18
hozier_angel-of-small-death-and-the-codeine-scene,84,67,17,6,vi,A,15
imagine-dragons_believer,69,53,16,7,VI,Bbm,15
imagine-dragons_its-time,30,30,0,5,vi,D,3
imagine-dragons_warriors,59,45,14,5,VI,Em,13
imagine-dragons_whatever-it-takes,76,72,4,6,VII,Bbm,18
jack-stauber_buttercup,38,24,14,4,vii,G,12
james-bay_us,72,72,0,4,I,C,27
james-blunt_bonfire-heart,54,54,0,5,vi,C,10
juan-karlos_buwan,68,48,20,5,VII,Am,3
kodaline_all-i-want,74,74,0,5,I,C,24
kodaline_brother,65,65,0,5,IV,A#,14
kygo_it-aint-me,118,87,31,4,VI,Em,0
lady-gaga_joanne,87,83,4,7,"V,IV",G,18
lilly-wood-the-prick_prayer-in-c,52,52,0,5,"I,V",C,16
linkin-park_castle-of-glass,70,62,8,5,"V,vi",E,16
linkin-park_the-messenger,67,67,0,4,V,G,16
los-campesinos_romance-is-boring,77,76,1,5,vi,A,20
louis-tomlinson_two-of-us,100,61,39,5,V,F,19
lucy-dacus_night-shift,103,77,26,6,I,D,60
mac-demarco_chamber-of-reflection,46,46,0,3,v,Em,16
mac-demarco_my-kind-of-woman,61,61,0,5,iii,A,15
manchester-orchestra_the-silence,82,0,82,5,#i,D,0
men-i-trust_show-me-how,24,14,10,5,iv,Am,3
michael-w-smith_waymaker,112,112,0,4,I,A#,34
mitski_washing-machine-heart,75,61,14,11,I,A,21
mitski_your-best-american-girl,109,103,6,6,I,D,31
natalia-lafourcade_lo-que-construimos,72,72,0,5,V,C,10
neck-deep_december,45,45,0,4,V,D,10
