song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
wham_last-christmas,33,33,0,3,iv,Bm,15
a-ha_take-on-me,106,104,2,7,V,A,27
acdc_back-in-black,190,115,75,6,V,D,22
acdc_you-shook-me-all-night-long,108,108,0,3,I,G,47
bon-jovi_livin-on-a-prayer,88,58,30,8,I,C,26
bon-jovi_wanted-dead-or-alive,93,77,16,4,V,C,28
bonnie-tyler_total-eclipse-of-the-heart,123,105,18,10,IV,G#,26
bruce-springsteen_dancing-in-the-dark,72,72,0,5,"vi,I",B,20
bruce-springsteen_the-river,105,105,0,5,I,G,32
bryan-adams_heaven,102,74,28,6,II,F,23
bryan-adams_summer-of-69,46,41,5,7,V,D,14
chris-isaak_wicked-game,46,46,0,3,I,A,20
crowded-house_dont-dream-its-over,74,57,17,7,"I,IV",D#,19
cyndi-lauper_time-after-time,1,1,0,1,I,F,1
dire-straits_romeo-and-juliet,130,130,0,5,V,F,25
elton-john_can-you-feel-the-love-tonight,120,98,22,7,I,D#,39
elton-john_im-still-standing,97,43,54,10,II,D,12
eurythmics_sweet-dreams-are-made-of-this,91,63,28,5,I,G#,32
guns-n-roses_dont-cry,75,75,0,5,V,C,12
guns-n-roses_patience,203,196,7,6,V,F#,30
guns-n-roses_sweet-child-o-mine,148,127,21,7,IV,F#,31
iggy-pop_the-passenger,280,254,26,5,"IV,I",C,78
journey_dont-stop-believin,84,84,0,5,I,E,24
men-at-work_down-under,188,188,0,4,V,D,23
phil-collins_against-all-odds,67,59,8,8,V,C#,6
phil-collins_in-the-air-tonight,70,70,0,3,VII,Dm,16
pixies_hey,33,25,8,5,vi,D,6
pixies_where-is-my-mind,90,62,28,5,"iii,VII",A,20
poison_every-rose-has-its-thorn,72,72,0,4,IV,F#,28
prince_purple-rain,31,31,0,4,"vi,V",A#,6
queen_i-want-to-break-free,42,40,2,5,IV,E,11
queen_under-pressure,82,44,38,5,II,G,27
richard-marx_right-here-waiting,80,80,0,5,"V,vi",C,15
simple-minds_dont-you-forget-about-me,100,75,25,6,I,D,47
sting_englishman-in-new-york,91,89,2,5,VII,Bm,27
survivor_eye-of-the-tiger,164,164,0,6,vi,D#,6
the-cure_just-like-heaven,58,43,15,6,"II,vi",D,9
the-police_every-breath-you-take,32,21,11,8,iii,C#,6
the-proclaimers_im-gonna-be-500-miles,88,88,0,5,I,E,34
the-smiths_please-please-please-let-me-get-what-i-want,29,29,0,4,V,D,8
the-smiths_there-is-a-light-that-never-goes-out,108,108,0,4,V,E,23
tom-petty_free-fallin,145,145,0,3,IV,F,57
tom-petty_i-wont-back-down,125,125,0,4,V,G,40
toto_africa,166,141,25,9,IV,E,19
tracy-chapman_baby-can-i-hold-you,107,107,0,6,I,D,41
tracy-chapman_fast-car,115,115,0,4,vi,A,23
traveling-wilburys_end-of-the-line,87,87,0,3,I,D,51
u2_i-still-havent-found-what-im-looking-for,45,45,0,3,I,C#,23
u2_with-or-without-you,89,89,0,4,"V,vi",D,17
violent-femmes_blister-in-the-sun,125,125,0,4,IV,G,58
abba_gimme-gimme-gimme,90,90,0,6,vi,F,3
air-supply_here-i-am,99,92,7,8,iii,C,13
alain-souchon_la-ballade-de-jim,71,71,0,4,V,D#,15
amy-grant_el-shaddai,95,71,24,8,V,C,13
celine-dion_how-does-a-moment-last-forever,86,80,6,7,I,A#,22
chaka-khan_through-the-fire,82,56,26,9,ii,G,4
culture-club_karma-chameleon,72,72,0,6,V,Bb,15
francis-cabrel_sarbacane,59,57,2,4,I,C,29
george-michael_careless-whisper,57,26,31,3,II,Gm,17
hombres-g_devuelveme-a-mi-chica,39,38,1,6,iii,F,3
jean-jacques-goldman_comme-toi,69,33,36,4,VII,A#,3
jean-jacques-goldman_je-te-donne,170,153,17,7,IV,G,45
jeanette_el-muchacho-de-los-ojos-tristes,65,36,29,9,I,E,13
john-farnham_youre-the-voice,89,53,36,5,V,D#,15
kari-tapio_olen-suomalainen,24,13,11,4,I,E,11
kate-bush_babooshka,110,76,34,7,iv,D#m,8
laura-branigan_self-control,88,88,0,6,iii,A,4
leonard-cohen_im-your-man,42,36,6,8,IV,D,8
marc-lavoine_elle-a-les-yeux-revolver,96,62,34,11,"IV,V",F,8
mike-oldfield_moonlight-shadow,119,119,0,4,V,E,27
modern-talking_youre-my-heart-youre-my-soul,62,62,0,5,"i,VII",C#m,22
nik-kershaw_wouldnt-it-be-good,93,71,22,10,VII,Dm,3
patrick-swayze_shes-like-the-wind,49,49,0,6,vi,G,5
paul-mccartney_mull-of-kintyre,34,34,0,3,IV,D,13
paul-mccartney_say-say-say,36,30,6,5,i,Am,17
paul-young_every-time-you-go-away,47,44,3,7,I,G,15
