,index,0
0,christmas,12
1,christmas songs,2
2,,634
3,rock,96
4,alternative rock,29
5,singer-songwriter,36
6,country,55
7,hard rock,5
8,indie,167
9,electronic,20
10,alternative,94
11,british,63
12,indie pop,80
13,german,3
14,wm,1
15,loved,2
16,pop,224
17,indie rock,56
18,arctic monkeys,1
19,despondency,1
20,tiktok,2
21,worship,17
22,christian,22
23,top 10 of 2018,1
24,folk rock,6
25,irresistible,1
26,meyers,1
27,2017 single,2
28,geographical specificity,1
29,cover,11
30,female vocalists,54
31,piano,13
32,folk,57
33,indie folk,15
34,awesome,9
35,americana,9
36,american,11
37,colbert,1
38,2014,12
39,post-hardcore,3
40,love at first listen,34
41,lo-fi,12
42,bedroom pop,9
43,chill,6
44,trip-hop,1
45,chillout,2
46,acoustic,32
47,grunge,2
48,unplugged,1
49,chris cornell,1
50,dream pop,13
51,shoegaze,1
52,slowcore,1
53,synthpop,8
54,jazz,5
55,ballad,17
56,sad,17
57,pop soul,1
58,punk rock,3
59,punk,4
60,deutsch,1
61,2013,6
62,foo fighters,1
63,dave grohl,1
64,norwegian,2
65,scandinavian,1
66,guitar,2
67,green day,1
68,blues rock,3
69,led zeppelin,1
70,5 stars,1
71,love,27
72,sexy,3
73,pop rock,18
74,louis tomlinson,2
75,christian rock,7
76,praise,5
77,blues,8
78,sophisticated,1
79,motive,1
80,imagine dragons,2
81,kick,4
82,power pop,3
83,indietronica,1
84,soundtrack,15
85,after,1
86,2018,10
87,james blunt,1
88,male vocalists,6
89,philippines,1
90,beautiful,6
91,heartbreakingly beautiful,1
92,irish,5
93,emotions,1
94,brother,1
95,house,4
96,downtempo,2
97,tropical house,1
98,masterpiece,1
99,joanne,1
100,electronic rock,1
101,linkin park,2
102,twee,1
103,jizz jazz,1
104,canadian,12
105,canada,1
106,2017,4
107,slow,1
108,contemporary christian,6
109,michael w smith,1
110,emotional,2
111,pain,1
112,can't play without crying,1
113,waa cry like baby,1
114,2016,7
115,noise pop,1
116,bagel,1
117,2015 gif,1
118,2015 single,3
119,natalia lafourcade gif,1
120,pop punk,8
121,sad music,1
122,generic pop punk,1
123,good left undone,1
124,britpop,2
125,2015,6
126,best of 2015,1
127,perfect,1
128,indonesian,1
129,paramore,1
130,surf rock,2
131,math rock,1
132,american idol,2
133,soul,51
134,j-rock,1
135,asian,1
136,thai,1
137,queercore,1
138,queer,1
139,seattle,1
140,campfire,1
141,fav worship albums,1
142,psychedelic,1
143,the vampire diaries,3
144,duo,1
145,d,1
146,hinooooo,1
147,a certain track,1
148,salon,1
149,augschitt,1
150,give booze a chance,1
151,ruperts greatest hits,1
152,alt rock,1
153,alt,1
154,nandermo,1
155,sunrise avenue,1
156,taylor swift,26
157,country pop,11
158,epic,3
159,summer,4
160,radio paradise,1
161,songs with place names,1
162,a long red glare,1
163,radioparadise,1
164,the script,1
165,hall of fame,1
166,my heart aches when i hear this song,1
167,this song makes me so happy,1
168,driving,1
169,u2,1
170,art pop,4
171,soft rock,6
172,2019,8
173,psychedelic folk,1
174,kingdom,1
175,happy,3
176,catchy,4
177,australian,6
178,2012,3
179,adele,4
180,female vocals,1
181,bruno mars,10
182,lovesong,1
183,ed sheeran,6
184,10s,3
185,my song,1
186,best song of the world,1
187,rnb,28
188,2010s,21
189,justin bieber,2
190,2011,3
191,x factor,1
192,neo-soul,3
193,rihanna,3
194,download,1
195,novo amor,1
196,breaking dawn,2
197,dance,15
198,avicii,1
199,whale mfs,1
200,british folk,1
201,sea shanty,1
202,sea shanties,1
203,sam smith,1
204,ambient pop,4
205,a cappella,2
206,futuristic,2
207,the sing off,2
208,praise and worship,4
209,max martin,1
210,lana del rey -ish,1
211,linedance 2020,2
212,electropop,5
213,eurovision,1
214,eurovision 2019,1
215,eurovision song contest,1
216,esc,1
217,one direction,3
218,jealous,1
219,moody,1
220,icelandic,2
221,james bond,1
222,fave,1
223,sadcore,1
224,adoration,1
225,lovejoy,1
226,ballad song contest 125,1
227,david guetta,1
228,modern worship,1
229, indie,1
230,sad playlist,3
231,dancehall,1
232,best of 2017,1
233,billie eilish,6
234,cuba,1
235,latin,2
236,albums,4
237,2017 albums,3
238,the song i use to cry,1
239,best of 2014,2
240,power ballad,1
241,danish,2
242,friends,1
243,cute,2
244,alt-country,3
245,sad songs,2
246,post malone,2
247,p!nk,3
248,yearning,3
249,gospel,3
250,christians,1
251,ambient,1
252,blngtwangbamlofi,1
253,latin pop,1
254,funk,3
255,jazz fusion,1
256,gospel choir,3
257,male vocalist,2
258,techno,1
259,electronica,1
260,relaxating,1
261,riverdale,1
262,i am crying oh ym god,1
263,country rap,1
264,trap,3
265,coldplay,2
266,french,1
267,beauty,1
268,amour,1
269,lana del rey,3
270,2012 single,1
271,mitch grassi,1
272,emo,6
273,emocore,2
274,alternative pop,2
275,favorite track right now,1
276,2018 single,1
277,woman,1
278,holiday,1
279,edm,1
280,country music,1
281,13 reasons why,1
282,soft,1
283,melancholy,4
284,guilty pleasure,1
285,avenged sevenfold,1
286,metal,2
287,a7x,1
288,soundtrack of my life,1
289,songwriter,1
290,psychedelic soul,1
291,synth funk,1
292,post-rock,1
293,girls name,1
294,tremble,1
295,alternative rnb,3
296,joji,1
297,reggae,3
298,i could listen to this song forever,1
299,love it,1
300,songs i absolutely love,1
301,littlebigtown,1
302,remix,1
303,rip stefan salvatore,1
304,easy listening,1
305,sleep and dreams,1
306,cult,2
307,relate love inspire,1
308,sad girl hours,1
309,i lust,1
310,music to melt to,1
311,sweden,1
312,dance-pop,1
313,country house,1
314,chuck,1
315,why is larry so real,1
316,larry,1
317,songs i like to play whilst walking down the street at night music,1
318,party,1
319,call me by your name,1
320,atmospheric,1
321,2010s country,1
322,linedance 2022,1
323,1989,1
324,<3,2
325,hawaii,1
326,hawaiian reggae,1
327,hawaiian,1
328,electro,1
329,linedance catalan,1
330,linedance 2017,1
331,relatable,1
332,prominent percussion,1
333,the band perry,1
334,if i die young,1
335,garage rock,1
336,red,1
337,daniel caesar,1
338,funky,1
339,sia,1
340,r&b,1
341,finnish,1
342,comedy,2
343,antifolk,2
344,progressive rock,1
345,folk pop,2
346,hip hop,3
347,rare,1
348,selena gomez,1
349,chamber pop,1
350,sad girl pop,1
351,best of 2013,1
352,imogen heap,1
353,is this the best song or what,1
354,southern soul,1
355,rhythm and blues,1
356,kanye west,2
357,paul mccartney,1
358,songs about death,1
359,im sad,1
360,songs to die to,1
361,best of 2018,1
362,hip-hop,6
363,rap,6
364,emo rap,1
365,dark country,1
366,paul,1
367,katy perry,1
368,mmmm,1
369,lala,1
370,roads and journeys,1
371,eclectonia,1
372,mexican,1
373,beyonce,1
374,powerful,1
375,desolation,1
376,955 wkqi,1
377,amazing,1
378,twilight,1
379,introvert,1
380,heartbreaking,1
381,halsey,2
382,calm,2
383,lorde,1
384,ethereal,1
385,lovely,2
386,haunting,1
387,emotion,1
388,for her,1
389,to cry,1
390,haters gonna hate,1
391,zicbouge,1
392,casa da beja,1
393,reputation,1
394,contemporary country,1
395,love song,1
396,female vocalist,3
397,depressing,1
398,vico,1
399,linedance 2021,1
400,legacies,1
401,2010s swamp blues,1
402,usa,1
403,heart breaking lyrics,1
404,cloud rap,1
405,new wave,1
406,alternative dance,1
407,romantic lyrics,1
408,mild rhythmic syncopation,1
409,melancholic,1
410,new country,1
411,colder weather,1
412,alex turner,1
413,6,1
414,7,1
415,free european song contest 2021,1
416,top 2000 2021,1
417,kool savas,1
418,be bop,1
419,these are bops,1
420,adult alternative pop rock,1
421,moja religia,1
422,love at firsten listen,1
423,breakup,1
424,trance,1
425,acid trance,1
426,uk,1
427,covers,1
428,2010s soft country,1
429,soft country,1
430,big little lies,1
431,blue eyed soul,1
432,songs i wish were written for me,1
433,songs i fucking love to death,1
434,perfection in under five minutes,1
435,perfection,1
436,hillsong,1
437,mattycrocker,1
438,hillsong live,1
439,swedish,1
440,beatlesesque,1
441,folk punk,1
442,folk punk rock,1
443,blue-eyed soul,1
444,post-nerdcore,1
445,modern country,1
446,blake shelton,1
447,bluegrass,1
448,relaxing,1
449,best of 2016,1
450,progressive house,1
451,electro house,1
452,female vocal,1
453,christmas music,1
454,original christmas song,1
455,experimental,1
456,progressive,1
457,vinyl,1
458,glitch pop,1
459,funk rock,1
