0,1,2,3,4,Decade
classic rock,rock,singer-songwriter,british,pop,1970
classic rock,rock,70s,british,pop,1970
hard rock,classic rock,rock,heavy metal,australian artist,1970
hard rock,classic rock,rock,heavy metal,australian artist,1970
classic rock,rock,hard rock,70s,aerosmith,1970
hard rock,rock,classic rock,80s,metal,1970
classic rock,70s,rock,soft rock,folk,1970
classic rock,70s,soft rock,rock,america,1970
70s,classic rock,soft rock,america,rock,1970
70s,disco,pop,bee gees,oldies,1970
disco,70s,pop,bee gees,,1970
female vocalists,80s,bette midler,pop,ballad,1970
70s,pop,singer-songwriter,rock,romantic,1970
piano,singer-songwriter,rock,billy joel,classic rock,1970
classic rock,piano,singer-songwriter,billy joel,rock,1970
classic rock,singer-songwriter,rock,pop,piano,1970
classic rock,piano,singer-songwriter,pop,billy joel,1970
heavy metal,classic rock,hard rock,rock,metal,1970
80s,new wave,pop,disco,rock,1970
folk,classic rock,rock,singer-songwriter,folk rock,1970
folk,classic rock,singer-songwriter,70s,folk rock,1970
folk,singer-songwriter,rock,classic rock,70s,1970
folk,singer-songwriter,rock,classic rock,folk rock,1970
folk,singer-songwriter,classic rock,bob dylan,rock,1970
,,,,,1970
,,,,,1970
70s rhythm and blues,blues,70s,pop,,1970
classic rock,rock,70s,boston,,1970
soft rock,70s,classic rock,love song,bread,1970
soft rock,70s,classic rock,oldies,romantic,1970
rock,classic rock,70s,singer-songwriter,bruce springsteen,1970
elass,,,,,1970
70s,jazz,,,,1970
female vocalists,70s,singer-songwriter,folk,carole king,1970
singer-songwriter,soft rock,pop,,,1970
singer-songwriter,female vocalists,folk,pop,classic rock,1970
folk,singer-songwriter,70s,classic rock,acoustic,1970
folk,70s,singer-songwriter,cat stevens,acoustic,1970
folk,70s,classic rock,singer-songwriter,cat stevens,1970
70s,classic rock,soft rock,rock,chicago,1970
classic rock,70s,rock,southern rock,,1970
classic rock,southern rock,rock,creedence clearwater revival,,1970
classic rock,rock,southern rock,60s,folk,1970
classic rock,rock,southern rock,60s,folk,1970
classic rock,folk rock,folk,rock,60s,1970
classic rock,folk rock,folk,rock,60s,1970
classic rock,folk rock,folk,rock,60s,1970
glam rock,classic rock,70s,rock,british,1970
rock,glam rock,classic rock,80s,70s,1970
glam rock,rock,classic rock,80s,alternative,1970
glam rock,classic rock,rock,70s,david bowie,1970
soul,,,,,1970
glam rock,classic rock,70s,rock,david bowie,1970
rock,classic rock,glam rock,70s,david bowie,1970
glam rock,classic rock,70s,rock,david bowie,1970
classic rock,hard rock,rock,70s,deep purple,1970
classic rock,rock,hard rock,rock ballads,deep purple,1970
classic rock,rock,80s,dire straits,guitar,1970
classic rock,eagles,rock,70s,country rock,1970
classic rock,eagles,70s,rock,,1970
classic rock,70s,eagles,rock,,1970
classic rock,rock,70s,soft rock,eagles,1970
classic rock,70s,soft rock,eagles,rock,1970
classic rock,70s,rock,country rock,eagles,1970
classic rock,70s,rock,eagles,country,1970
classic rock,70s,rock,eagles,,1970
classic rock,eagles,70s,rock,country rock,1970
classic rock,progressive rock,rock,70s,british,1970
classic rock,70s,rock,pop,elton john,1970
pop,classic rock,elton john,rock,piano,1970
classic rock,70s,pop,rock,elton john,1970
pop,70s,classic rock,elton john,singer-songwriter,1970
70s,classic rock,pop,elton john,rock,1970
70s,classic rock,pop,rock,singer-songwriter,1970
classic rock,70s,piano,pop,rock,1970
70s,pop,classic rock,elton john,piano,1970
oldies,classic rock,elvis presley,rock n roll,rock,1970
rock n roll,oldies,rock,rock and roll,elvis,1970
rock n roll,classic rock,rock,oldies,rock and roll,1970
70s,soft rock,pop,oldies,ballad,1970
classic rock,blues rock,rock,blues,guitar,1970
classic rock,reggae,rock,70s,blues,1970
mellow,easy listening,classic rock,singer-songwriter,sad,1970
classic rock,blues,rock,ballad,guitar,1970
