Genre,Count
christmas,12
christmas songs,2
,634
rock,96
alternative rock,29
singer-songwriter,36
country,55
hard rock,5
indie,167
electronic,20
alternative,94
british,63
indie pop,80
german,3
wm,1
loved,2
pop,224
indie rock,56
arctic monkeys,1
despondency,1
tiktok,2
worship,17
christian,22
top 10 of 2018,1
folk rock,6
irresistible,1
meyers,1
2017 single,2
geographical specificity,1
cover,11
female vocalists,54
piano,13
folk,57
indie folk,15
awesome,9
americana,9
american,11
colbert,1
2014,12
post-hardcore,3
love at first listen,34
lo-fi,12
bedroom pop,9
chill,6
trip-hop,1
chillout,2
acoustic,32
grunge,2
unplugged,1
chris cornell,1
dream pop,13
shoegaze,1
slowcore,1
synthpop,8
jazz,5
ballad,17
sad,17
pop soul,1
punk rock,3
punk,4
deutsch,1
2013,6
foo fighters,1
dave grohl,1
norwegian,2
scandinavian,1
guitar,2
green day,1
blues rock,3
led zeppelin,1
5 stars,1
love,27
sexy,3
pop rock,18
louis tomlinson,2
christian rock,7
praise,5
blues,8
sophisticated,1
motive,1
imagine dragons,2
kick,4
power pop,3
indietronica,1
soundtrack,15
after,1
2018,10
james blunt,1
male vocalists,6
philippines,1
beautiful,6
heartbreakingly beautiful,1
irish,5
emotions,1
brother,1
house,4
downtempo,2
tropical house,1
masterpiece,1
joanne,1
electronic rock,1
linkin park,2
twee,1
jizz jazz,1
canadian,12
canada,1
2017,4
slow,1
contemporary christian,6
michael w smith,1
emotional,2
pain,1
can't play without crying,1
waa cry like baby,1
2016,7
noise pop,1
bagel,1
2015 gif,1
2015 single,3
natalia lafourcade gif,1
pop punk,8
sad music,1
generic pop punk,1
good left undone,1
britpop,2
2015,6
best of 2015,1
perfect,1
indonesian,1
paramore,1
surf rock,2
math rock,1
american idol,2
soul,51
j-rock,1
asian,1
thai,1
queercore,1
queer,1
seattle,1
campfire,1
fav worship albums,1
psychedelic,1
the vampire diaries,3
duo,1
d,1
hinooooo,1
a certain track,1
salon,1
augschitt,1
give booze a chance,1
ruperts greatest hits,1
alt rock,1
alt,1
nandermo,1
sunrise avenue,1
taylor swift,26
country pop,11
epic,3
summer,4
radio paradise,1
songs with place names,1
a long red glare,1
radioparadise,1
the script,1
hall of fame,1
my heart aches when i hear this song,1
this song makes me so happy,1
driving,1
u2,1
art pop,4
soft rock,6
2019,8
psychedelic folk,1
kingdom,1
happy,3
catchy,4
australian,6
2012,3
adele,4
female vocals,1
bruno mars,10
lovesong,1
ed sheeran,6
