,I,IV,V,#VI,vi,ii,II,iv,iii,III,VI,bVII,#II,i,#V
I,0.2114695340501792,0.18996415770609318,0.26881720430107525,0.06810035842293907,0.07168458781362007,0.02867383512544803,0.05017921146953405,0.007168458781362007,0.035842293906810034,0.03225806451612903,0.017921146953405017,0.014336917562724014,0.0035842293906810036,0.0,0.0
II,0.08333333333333333,0.17708333333333334,0.09375,0.010416666666666666,0.020833333333333332,0.0,0.23958333333333334,0.03125,0.1875,0.0,0.11458333333333333,0.0,0.041666666666666664,0.0,0.0
III,0.045454545454545456,0.20454545454545456,0.022727272727272728,0.022727272727272728,0.4318181818181818,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0
vi,0.07339449541284404,0.22018348623853212,0.28440366972477066,0.01834862385321101,0.09174311926605505,0.09174311926605505,0.10091743119266056,0.01834862385321101,0.01834862385321101,0.05504587155963303,0.027522935779816515,0.0,0.0,0.0,0.0
V,0.29411764705882354,0.14479638009049775,0.11312217194570136,0.06334841628959276,0.10407239819004525,0.058823529411764705,0.09502262443438914,0.0,0.01809954751131222,0.00904977375565611,0.03167420814479638,0.03619909502262444,0.00904977375565611,0.02262443438914027,0.0
#II,0.0,0.0967741935483871,0.0,0.1935483870967742,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.0,0.0,0.12903225806451613,0.0,0.0,0.22580645161290322,0.03225806451612903,0.0967741935483871
IV,0.2764227642276423,0.18699186991869918,0.24796747967479674,0.08536585365853659,0.016260162601626018,0.036585365853658534,0.012195121951219513,0.02032520325203252,0.04065040650406504,0.036585365853658534,0.008130081300813009,0.016260162601626018,0.0040650406504065045,0.0,0.012195121951219513
ii,0.1509433962264151,0.02830188679245283,0.36792452830188677,0.04716981132075472,0.10377358490566038,0.16981132075471697,0.0,0.009433962264150943,0.018867924528301886,0.04716981132075472,0.05660377358490566,0.0,0.0,0.0,0.0
i,0.0,0.6363636363636364,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
#VI,0.22727272727272727,0.2840909090909091,0.056818181818181816,0.1590909090909091,0.045454545454545456,0.125,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.0,0.0,0.0,0.06818181818181818,0.0,0.0
iv,0.42105263157894735,0.0,0.15789473684210525,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0
iii,0.24561403508771928,0.15789473684210525,0.0,0.0,0.15789473684210525,0.08771929824561403,0.24561403508771928,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
#V,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6
VI,0.14035087719298245,0.017543859649122806,0.12280701754385964,0.0,0.0,0.21052631578947367,0.15789473684210525,0.0,0.0,0.05263157894736842,0.2631578947368421,0.017543859649122806,0.0,0.017543859649122806,0.0
bVII,0.21428571428571427,0.6428571428571429,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
