,V,I,#VI,ii,IV,vi,#V,iii,II,iv,#I,i,bVII,v,bIII,#II,III,VII,bVI,VI,bv,vii,bV,bI
IV,0.22989807474518686,0.49263873159682897,0.06568516421291053,0.03567383918459796,0.04983012457531144,0.03850509626274066,0.0016987542468856172,0.022083805209513023,0.010192525481313703,0.010758776896942242,0.0033975084937712344,0.0011325028312570782,0.0022650056625141564,0.00622876557191393,0.0056625141562853904,0.0028312570781426952,0.0022650056625141564,0.005096262740656852,0.0056625141562853904,0.008493771234428085,0.0,0.0,0.0,0.0
V,0.12853025936599424,0.37175792507204614,0.016714697406340056,0.03976945244956772,0.20518731988472622,0.08760806916426513,0.0,0.019020172910662825,0.07204610951008646,0.0005763688760806917,0.0,0.012103746397694525,0.002881844380403458,0.0005763688760806917,0.00345821325648415,0.006340057636887608,0.006340057636887608,0.002881844380403458,0.0,0.023054755043227664,0.0011527377521613833,0.0,0.0,0.0
ii,0.2688953488372093,0.20348837209302326,0.027616279069767442,0.12209302325581395,0.18023255813953487,0.055232558139534885,0.0,0.0436046511627907,0.005813953488372093,0.005813953488372093,0.0,0.01744186046511628,0.00872093023255814,0.02616279069767442,0.0,0.0,0.02616279069767442,0.0,0.0,0.00872093023255814,0.0,0.0,0.0,0.0
I,0.24200552704303196,0.14686142913541256,0.029214370311883144,0.08093170153967627,0.26964074220292145,0.08843268851164626,0.00039478878799842083,0.0378997236478484,0.05250690880378997,0.0035530990919857876,0.00039478878799842083,0.0011843663639952626,0.008290564547966837,0.0039478878799842085,0.0007895775759968417,0.005921831819976312,0.0094749309119621,0.0043426766679826295,0.0,0.012633241215949467,0.0,0.0015791551519936833,0.0,0.0
#VI,0.12794612794612795,0.35353535353535354,0.026936026936026935,0.037037037037037035,0.32323232323232326,0.050505050505050504,0.006734006734006734,0.0,0.0,0.0,0.013468013468013467,0.0,0.0,0.02356902356902357,0.0,0.010101010101010102,0.0,0.0,0.0,0.026936026936026935,0.0,0.0,0.0,0.0
vi,0.13384813384813385,0.0990990990990991,0.01287001287001287,0.14285714285714285,0.27413127413127414,0.07207207207207207,0.001287001287001287,0.06177606177606178,0.11969111969111969,0.001287001287001287,0.0,0.006435006435006435,0.0,0.02445302445302445,0.0,0.0,0.015444015444015444,0.007722007722007722,0.0,0.014157014157014158,0.0,0.01287001287001287,0.0,0.0
bVII,0.06,0.3,0.0,0.02,0.54,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vii,0.3103448275862069,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.13793103448275862,0.0,0.0,0.06896551724137931,0.0,0.0,0.06896551724137931,0.0,0.13793103448275862,0.0,0.0
II,0.20419847328244276,0.17938931297709923,0.019083969465648856,0.02862595419847328,0.11450381679389313,0.08969465648854962,0.0,0.08206106870229007,0.13358778625954199,0.0019083969465648854,0.0,0.003816793893129771,0.0,0.0057251908396946565,0.0,0.0019083969465648854,0.03435114503816794,0.0,0.0,0.09351145038167939,0.007633587786259542,0.0,0.0,0.0
VI,0.16141732283464566,0.06299212598425197,0.03543307086614173,0.1141732283464567,0.011811023622047244,0.07874015748031496,0.015748031496062992,0.015748031496062992,0.20866141732283464,0.0,0.0,0.023622047244094488,0.0,0.031496062992125984,0.0,0.0,0.05905511811023622,0.03543307086614173,0.0,0.1141732283464567,0.0,0.031496062992125984,0.0,0.0
iii,0.08695652173913043,0.2515527950310559,0.009316770186335404,0.16459627329192547,0.09937888198757763,0.2080745341614907,0.0,0.024844720496894408,0.034161490683229816,0.0,0.0,0.0,0.0,0.012422360248447204,0.0,0.0,0.015527950310559006,0.015527950310559006,0.0,0.07763975155279502,0.0,0.0,0.0,0.0
i,0.09210526315789473,0.0,0.0,0.06578947368421052,0.1513157894736842,0.0,0.0,0.0,0.013157894736842105,0.34868421052631576,0.0,0.13157894736842105,0.0,0.06578947368421052,0.019736842105263157,0.0,0.0,0.08552631578947369,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
III,0.06451612903225806,0.03225806451612903,0.0,0.04032258064516129,0.06451612903225806,0.4274193548387097,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.04032258064516129,0.0,0.1532258064516129,0.06451612903225806,0.0,0.03225806451612903,0.0
bv,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
VII,0.0449438202247191,0.11235955056179775,0.0449438202247191,0.0,0.0,0.033707865168539325,0.0,0.1797752808988764,0.10112359550561797,0.0,0.0,0.033707865168539325,0.0,0.10112359550561797,0.0,0.0,0.06741573033707865,0.14606741573033707,0.0,0.12359550561797752,0.0,0.0,0.0,0.011235955056179775
v,0.0,0.49056603773584906,0.0,0.009433962264150943,0.08490566037735849,0.0,0.05660377358490566,0.0,0.04716981132075472,0.0,0.0,0.11320754716981132,0.0,0.04716981132075472,0.0,0.009433962264150943,0.0,0.0,0.0,0.12264150943396226,0.0,0.018867924528301886,0.0,0.0
#V,0.18181818181818182,0.030303030303030304,0.09090909090909091,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.12121212121212122,0.030303030303030304,0.24242424242424243,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.5,0.1,0.0,0.0,0.0,0.0
bIII,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.30434782608695654,0.34782608695652173,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
