,#VI,IV,I,i,VII,VI,ii,V,II,vi,iii,III,v,iv
V,0.026415094339622643,0.19245283018867926,0.37735849056603776,0.018867924528301886,0.007547169811320755,0.011320754716981131,0.045283018867924525,0.09056603773584905,0.07169811320754717,0.12075471698113208,0.018867924528301886,0.011320754716981131,0.0037735849056603774,0.0037735849056603774
#VI,0.0,0.1836734693877551,0.5714285714285714,0.0,0.0,0.0,0.061224489795918366,0.1836734693877551,0.0,0.0,0.0,0.0,0.0,0.0
I,0.033797216699801194,0.14910536779324055,0.2962226640159046,0.0,0.005964214711729622,0.007952286282306162,0.055666003976143144,0.2345924453280318,0.061630218687872766,0.07952286282306163,0.017892644135188866,0.04970178926441352,0.005964214711729622,0.0019880715705765406
ii,0.10752688172043011,0.0967741935483871,0.15053763440860216,0.03225806451612903,0.0,0.021505376344086023,0.10752688172043011,0.3118279569892473,0.0,0.043010752688172046,0.08602150537634409,0.043010752688172046,0.0,0.0
vi,0.0,0.2746478873239437,0.19718309859154928,0.0,0.0,0.028169014084507043,0.06338028169014084,0.19014084507042253,0.028169014084507043,0.14084507042253522,0.035211267605633804,0.02112676056338028,0.02112676056338028,0.0
IV,0.06097560975609756,0.11788617886178862,0.44715447154471544,0.0,0.0,0.008130081300813009,0.04065040650406504,0.18699186991869918,0.02032520325203252,0.024390243902439025,0.024390243902439025,0.036585365853658534,0.0,0.032520325203252036
iii,0.0,0.1111111111111111,0.16666666666666666,0.0,0.0,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.09259259259259259,0.14814814814814814,0.07407407407407407,0.0,0.0,0.0
i,0.03571428571428571,0.17857142857142858,0.07142857142857142,0.17857142857142858,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.10714285714285714
VII,0.0,0.0,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.10526315789473684,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.05263157894736842,0.10526315789473684
III,0.022222222222222223,0.3111111111111111,0.0,0.0,0.0,0.06666666666666667,0.022222222222222223,0.0,0.0,0.5111111111111111,0.0,0.06666666666666667,0.0,0.0
VI,0.0,0.03125,0.03125,0.0,0.0625,0.09375,0.15625,0.15625,0.21875,0.09375,0.09375,0.0,0.0625,0.0
II,0.0,0.1566265060240964,0.27710843373493976,0.0,0.012048192771084338,0.03614457831325301,0.012048192771084338,0.1686746987951807,0.1686746987951807,0.04819277108433735,0.10843373493975904,0.0,0.012048192771084338,0.0
iv,0.0,0.0,0.3684210526315789,0.15789473684210525,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.15789473684210525,0.05263157894736842
v,0.0,0.0,0.42105263157894735,0.10526315789473684,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.10526315789473684,0.21052631578947367
