,vi,V,I,#VI,IV,iii,i,ii,II,III,VI,VII,v,iv,bVII
V,0.11808118081180811,0.14760147601476015,0.35793357933579334,0.01107011070110701,0.1033210332103321,0.02214022140221402,0.007380073800738007,0.025830258302583026,0.08487084870848709,0.014760147601476014,0.07380073800738007,0.01107011070110701,0.0036900369003690036,0.007380073800738007,0.01107011070110701
vi,0.23478260869565218,0.10434782608695652,0.16521739130434782,0.008695652173913044,0.22608695652173913,0.043478260869565216,0.0,0.043478260869565216,0.02608695652173913,0.0782608695652174,0.05217391304347826,0.008695652173913044,0.0,0.008695652173913044,0.0
II,0.01680672268907563,0.2605042016806723,0.058823529411764705,0.0,0.04201680672268908,0.10084033613445378,0.0,0.008403361344537815,0.3697478991596639,0.008403361344537815,0.10084033613445378,0.008403361344537815,0.025210084033613446,0.0,0.0
I,0.11044776119402985,0.24477611940298508,0.2417910447761194,0.03880597014925373,0.1701492537313433,0.04776119402985075,0.0,0.04776119402985075,0.03283582089552239,0.03582089552238806,0.008955223880597015,0.005970149253731343,0.011940298507462687,0.0,0.0029850746268656717
IV,0.02197802197802198,0.23076923076923078,0.4010989010989011,0.038461538461538464,0.15934065934065933,0.016483516483516484,0.01098901098901099,0.04945054945054945,0.005494505494505495,0.005494505494505495,0.016483516483516484,0.0,0.01098901098901099,0.02197802197802198,0.01098901098901099
#VI,0.0,0.25806451612903225,0.41935483870967744,0.06451612903225806,0.22580645161290322,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.05172413793103448,0.1896551724137931,0.1206896551724138,0.0,0.10344827586206896,0.10344827586206896,0.0,0.13793103448275862,0.20689655172413793,0.0,0.05172413793103448,0.034482758620689655,0.0,0.0,0.0
i,0.0,0.09523809523809523,0.0,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.3333333333333333,0.0
ii,0.0,0.423728813559322,0.1864406779661017,0.03389830508474576,0.15254237288135594,0.11864406779661017,0.0,0.03389830508474576,0.0,0.0,0.0,0.01694915254237288,0.0,0.03389830508474576,0.0
VI,0.0379746835443038,0.10126582278481013,0.05063291139240506,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.06329113924050633,0.21518987341772153,0.012658227848101266,0.35443037974683544,0.06329113924050633,0.05063291139240506,0.0,0.012658227848101266
bVII,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.034482758620689655,0.10344827586206896,0.0,0.0,0.034482758620689655,0.0,0.0,0.6896551724137931
iv,0.0,0.15789473684210525,0.2631578947368421,0.0,0.05263157894736842,0.0,0.42105263157894735,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0
VII,0.0,0.1875,0.3125,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0625,0.0
III,0.25,0.075,0.075,0.0,0.275,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0
v,0.06666666666666667,0.0,0.3333333333333333,0.0,0.2,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0
