,I,iii,i,ii,VII,VI,vi,IV,V,II,bVII,III,iv
V,0.3023255813953488,0.046511627906976744,0.023255813953488372,0.10852713178294573,0.015503875968992248,0.007751937984496124,0.14728682170542637,0.21705426356589147,0.06201550387596899,0.031007751937984496,0.03875968992248062,0.0,0.0
I,0.14084507042253522,0.028169014084507043,0.0,0.035211267605633804,0.02112676056338028,0.014084507042253521,0.056338028169014086,0.21830985915492956,0.4084507042253521,0.028169014084507043,0.014084507042253521,0.035211267605633804,0.0
IV,0.44554455445544555,0.009900990099009901,0.0,0.039603960396039604,0.019801980198019802,0.0,0.13861386138613863,0.019801980198019802,0.25742574257425743,0.0,0.0,0.06930693069306931,0.0
iii,0.06349206349206349,0.06349206349206349,0.0,0.06349206349206349,0.015873015873015872,0.5396825396825397,0.14285714285714285,0.015873015873015872,0.015873015873015872,0.06349206349206349,0.0,0.0,0.015873015873015872
i,0.0,0.0,0.0,0.5161290322580645,0.16129032258064516,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.22580645161290322
ii,0.06779661016949153,0.0,0.2542372881355932,0.03389830508474576,0.0,0.05084745762711865,0.05084745762711865,0.22033898305084745,0.1864406779661017,0.0,0.0,0.1016949152542373,0.03389830508474576
VI,0.02127659574468085,0.6382978723404256,0.0,0.14893617021276595,0.0,0.06382978723404255,0.0,0.0,0.02127659574468085,0.0851063829787234,0.02127659574468085,0.0,0.0
VII,0.0,0.4444444444444444,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.2777777777777778
III,0.0,0.0,0.0,0.25,0.0,0.125,0.5625,0.0625,0.0,0.0,0.0,0.0,0.0
vi,0.136986301369863,0.1232876712328767,0.0,0.0547945205479452,0.0136986301369863,0.0,0.0821917808219178,0.273972602739726,0.273972602739726,0.0273972602739726,0.0,0.0136986301369863,0.0
II,0.45454545454545453,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.0,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
bVII,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0
iv,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.0,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333
