,vi,V,I,#VI,II,ii,vii,IV,iii,i,VII,VI,III,bVII,#V,v,#II,iv,bIII,bII
V,0.1436399217221135,0.11232876712328767,0.36164383561643837,0.049315068493150684,0.043052837573385516,0.0410958904109589,0.0015655577299412916,0.16086105675146772,0.0324853228962818,0.010176125244618396,0.003913894324853229,0.014481409001956947,0.0136986301369863,0.0027397260273972603,0.0003913894324853229,0.0007827788649706458,0.0035225048923679062,0.004305283757338552,0.0,0.0
vi,0.07332293291731669,0.15366614664586584,0.13338533541341654,0.01638065522620905,0.07644305772230889,0.12168486739469579,0.0046801872074883,0.2925117004680187,0.0686427457098284,0.0,0.00858034321372855,0.0039001560062402497,0.02574102964118565,0.0062402496099844,0.0070202808112324495,0.0078003120124804995,0.0,0.0,0.0,0.0
II,0.07894736842105263,0.2260061919504644,0.1996904024767802,0.0,0.22755417956656346,0.021671826625386997,0.0015479876160990713,0.07739938080495357,0.047987616099071206,0.0,0.0015479876160990713,0.07739938080495357,0.006191950464396285,0.0,0.006191950464396285,0.020123839009287926,0.0046439628482972135,0.0,0.0030959752321981426,0.0
I,0.06734269370774831,0.2641705668226729,0.1705668226729069,0.05096203848153926,0.05096203848153926,0.09568382735309412,0.0013000520020800832,0.2126885075403016,0.054602184087363496,0.0,0.00234009360374415,0.004160166406656267,0.01170046801872075,0.0031201248049922,0.0013000520020800832,0.004940197607904316,0.0,0.0020800832033281333,0.0005200208008320333,0.0015600624024961
ii,0.048956661316211875,0.25601926163723915,0.21910112359550563,0.030497592295345103,0.0,0.10353130016051364,0.0,0.14847512038523275,0.06902086677367576,0.051364365971107544,0.0,0.016853932584269662,0.030497592295345103,0.0008025682182985554,0.0008025682182985554,0.006420545746388443,0.0,0.014446227929373997,0.0032102728731942215,0.0
IV,0.035829307568438,0.21256038647342995,0.42914653784219003,0.055152979066022546,0.010064412238325281,0.06159420289855073,0.00040257648953301127,0.10547504025764895,0.02254428341384863,0.013687600644122383,0.004025764895330112,0.006843800322061192,0.017310789049919485,0.0012077294685990338,0.0012077294685990338,0.008051529790660225,0.0008051529790660225,0.011674718196457327,0.0024154589371980675,0.0
#VI,0.0068846815834767644,0.07056798623063683,0.459552495697074,0.06884681583476764,0.0,0.07228915662650602,0.0,0.2736660929432014,0.008605851979345954,0.0017211703958691911,0.0034423407917383822,0.0017211703958691911,0.0,0.0,0.013769363166953529,0.0034423407917383822,0.012048192771084338,0.0034423407917383822,0.0,0.0
iii,0.2326283987915408,0.0649546827794562,0.12084592145015106,0.0,0.0634441087613293,0.14350453172205438,0.00906344410876133,0.21299093655589124,0.05891238670694864,0.0,0.0,0.07401812688821752,0.006042296072507553,0.0,0.0,0.013595166163141994,0.0,0.0,0.0,0.0
III,0.5622119815668203,0.07373271889400922,0.08294930875576037,0.0,0.009216589861751152,0.013824884792626729,0.0,0.10599078341013825,0.0,0.0,0.0,0.03686635944700461,0.04608294930875576,0.0,0.0,0.013824884792626729,0.027649769585253458,0.0,0.027649769585253458,0.0
bVII,0.05,0.05,0.16666666666666666,0.0,0.05,0.06666666666666667,0.0,0.2,0.0,0.0,0.31666666666666665,0.0,0.05,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.016666666666666666
vii,0.4117647058823529,0.0,0.08823529411764706,0.0,0.0,0.0,0.11764705882352941,0.0,0.17647058823529413,0.0,0.0,0.08823529411764706,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.019867549668874173,0.19205298013245034,0.006622516556291391,0.052980132450331126,0.0,0.0,0.0,0.12582781456953643,0.19205298013245034,0.013245033112582781,0.15894039735099338,0.0,0.0,0.0,0.026490066225165563,0.0,0.17218543046357615,0.0,0.039735099337748346
i,0.0,0.026845637583892617,0.010067114093959731,0.0,0.006711409395973154,0.21476510067114093,0.010067114093959731,0.20469798657718122,0.0,0.12080536912751678,0.12416107382550336,0.053691275167785234,0.0,0.0,0.013422818791946308,0.11073825503355705,0.0,0.09060402684563758,0.013422818791946308,0.0
VI,0.03428571428571429,0.04,0.06857142857142857,0.022857142857142857,0.10571428571428572,0.22285714285714286,0.0,0.008571428571428572,0.05714285714285714,0.04,0.054285714285714284,0.20285714285714285,0.0,0.05714285714285714,0.005714285714285714,0.08,0.0,0.0,0.0,0.0
#V,0.0,0.21951219512195122,0.0,0.36585365853658536,0.0,0.04878048780487805,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.024390243902439025,0.0,0.14634146341463414,0.0,0.0
