,I,II,VI,IV,vi,ii,V,v,#VI,iii,III,iv,#V,VII,#II,bVI,i,#vi,bIII
iii,0.08163265306122448,0.05102040816326531,0.061224489795918366,0.29591836734693877,0.2755102040816326,0.1326530612244898,0.04081632653061224,0.01020408163265306,0.01020408163265306,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.09041095890410959,0.11232876712328767,0.0027397260273972603,0.2465753424657534,0.06301369863013699,0.04657534246575343,0.2684931506849315,0.0,0.057534246575342465,0.03287671232876712,0.024657534246575342,0.03287671232876712,0.005479452054794521,0.00821917808219178,0.00821917808219178,0.0,0.0,0.0,0.0
II,0.3627450980392157,0.049019607843137254,0.0196078431372549,0.058823529411764705,0.08823529411764706,0.00980392156862745,0.30392156862745096,0.0,0.0196078431372549,0.0392156862745098,0.029411764705882353,0.0,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0
vi,0.13978494623655913,0.12365591397849462,0.016129032258064516,0.22043010752688172,0.06989247311827956,0.05913978494623656,0.1935483870967742,0.005376344086021506,0.005376344086021506,0.13978494623655913,0.016129032258064516,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0
IV,0.28173374613003094,0.021671826625386997,0.0,0.09287925696594428,0.058823529411764705,0.03715170278637771,0.2786377708978328,0.006191950464396285,0.02476780185758514,0.06811145510835913,0.09907120743034056,0.0,0.0030959752321981426,0.0030959752321981426,0.018575851393188854,0.006191950464396285,0.0,0.0,0.0
V,0.2802547770700637,0.05732484076433121,0.044585987261146494,0.20382165605095542,0.16878980891719744,0.041401273885350316,0.10509554140127389,0.006369426751592357,0.022292993630573247,0.03821656050955414,0.006369426751592357,0.0,0.012738853503184714,0.0031847133757961785,0.0031847133757961785,0.0,0.006369426751592357,0.0,0.0
ii,0.16129032258064516,0.0,0.0,0.08602150537634409,0.10752688172043011,0.07526881720430108,0.3118279569892473,0.03225806451612903,0.0967741935483871,0.08602150537634409,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0
#II,0.09523809523809523,0.047619047619047616,0.0,0.42857142857142855,0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.23809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
#V,0.1,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.2,0.0
#VI,0.639344262295082,0.0,0.0,0.06557377049180328,0.01639344262295082,0.03278688524590164,0.06557377049180328,0.01639344262295082,0.06557377049180328,0.0,0.01639344262295082,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.06557377049180328,0.0
VI,0.1320754716981132,0.20754716981132076,0.1320754716981132,0.018867924528301886,0.05660377358490566,0.03773584905660377,0.07547169811320754,0.018867924528301886,0.0,0.07547169811320754,0.0,0.018867924528301886,0.0,0.22641509433962265,0.0,0.0,0.0,0.0,0.0
III,0.0,0.08571428571428572,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.0,0.1,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.04285714285714286,0.0,0.04285714285714286,0.0,0.0,0.0
VII,0.10638297872340426,0.0,0.19148936170212766,0.0425531914893617,0.0,0.0,0.06382978723404255,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.1702127659574468,0.0,0.0,0.3617021276595745,0.0,0.0
i,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.08333333333333333,0.0,0.0
iv,0.5,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333
v,0.47058823529411764,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0
bVI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.375
bIII,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0
#vi,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
