,i,IV,vi,ii,V,#iv,VI,bV,II,III,#v,I,iii,iv,VII,v,#VI,#II,bVII,#vi,#V,#IV,vii,#I,bVI
III,0.023346303501945526,0.038910505836575876,0.26459143968871596,0.04669260700389105,0.08560311284046693,0.0311284046692607,0.13618677042801555,0.023346303501945526,0.09727626459143969,0.22178988326848248,0.01556420233463035,0.011673151750972763,0.0038910505836575876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.11262798634812286,0.010238907849829351,0.0,0.0,0.034129692832764506,0.0,0.17064846416382254,0.0,0.040955631399317405,0.0,0.0,0.0,0.010238907849829351,0.24573378839590443,0.23890784982935154,0.13651877133105803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,0.0958904109589041,0.0091324200913242,0.0091324200913242,0.0,0.1050228310502283,0.0,0.1141552511415525,0.0365296803652968,0.0,0.0,0.0,0.1415525114155251,0.0091324200913242,0.0045662100456621,0.3287671232876712,0.1461187214611872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.004231311706629055,0.27468265162200284,0.076163610719323,0.058180535966149506,0.3067700987306065,0.0,0.005641748942172073,0.0,0.07651622002820875,0.007052186177715092,0.0,0.1001410437235543,0.03173483779971791,0.006699576868829337,0.00846262341325811,0.008110014104372355,0.025740479548660086,0.002468265162200282,0.005994358251057828,0.0003526093088857546,0.0010578279266572638,0.0,0.0,0.0,0.0
V,0.00751597143930853,0.20330702743329576,0.16046599022923713,0.05787298008267568,0.10710259301014656,0.0,0.022923712889891017,0.0,0.046223224351747465,0.007891770011273957,0.0,0.34911687335588126,0.01954152574220218,0.0,0.007140172867343104,0.001503194287861706,0.005261180007515971,0.0003757985719654265,0.003006388575723412,0.0,0.0,0.000751597143930853,0.0,0.0,0.0
vi,0.0,0.2704296545914069,0.05391743892165122,0.11878685762426285,0.2527379949452401,0.0,0.005897219882055603,0.0,0.04717775905644482,0.018534119629317607,0.005054759898904802,0.13142375737152484,0.06655433866891322,0.0016849199663016006,0.008424599831508003,0.0,0.010109519797809604,0.0,0.005897219882055603,0.0016849199663016006,0.0,0.0,0.0016849199663016006,0.0,0.0
IV,0.0,0.05796460176991151,0.07787610619469026,0.05707964601769912,0.35,0.0,0.003097345132743363,0.0,0.014601769911504425,0.014601769911504425,0.0,0.3663716814159292,0.029646017699115044,0.005752212389380531,0.0,0.0008849557522123894,0.013716814159292035,0.0017699115044247787,0.002654867256637168,0.002654867256637168,0.0008849557522123894,0.0,0.0,0.0004424778761061947,0.0
II,0.0017123287671232876,0.08732876712328767,0.09417808219178082,0.010273972602739725,0.15753424657534246,0.0,0.10273972602739725,0.0,0.0273972602739726,0.059931506849315065,0.0,0.2654109589041096,0.1284246575342466,0.0,0.005136986301369863,0.015410958904109588,0.02226027397260274,0.018835616438356163,0.0,0.0,0.0,0.0,0.003424657534246575,0.0,0.0
VI,0.08744394618834081,0.026905829596412557,0.013452914798206279,0.06278026905829596,0.09417040358744394,0.017937219730941704,0.08744394618834081,0.0,0.08744394618834081,0.10986547085201794,0.0,0.07847533632286996,0.013452914798206279,0.06502242152466367,0.19730941704035873,0.01569506726457399,0.0,0.0,0.0,0.0,0.0,0.006726457399103139,0.017937219730941704,0.017937219730941704,0.0
iii,0.0,0.24838012958963282,0.16198704103671707,0.08207343412526998,0.0755939524838013,0.0,0.038876889848812095,0.0,0.1079913606911447,0.0,0.0,0.19870410367170627,0.04103671706263499,0.008639308855291577,0.019438444924406047,0.004319654427645789,0.004319654427645789,0.0,0.008639308855291577,0.0,0.0,0.0,0.0,0.0,0.0
