,#VI,I,vi,iii,V,II,IV,ii,III,VI,VII,v,iv
iii,0.08,0.4,0.16,0.08,0.04,0.04,0.16,0.04,0.0,0.0,0.0,0.0,0.0
#VI,0.3,0.1,0.0,0.1,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0
ii,0.0,0.18666666666666668,0.29333333333333333,0.013333333333333334,0.13333333333333333,0.0,0.13333333333333333,0.22666666666666666,0.013333333333333334,0.0,0.0,0.0,0.0
I,0.010256410256410256,0.18974358974358974,0.1076923076923077,0.015384615384615385,0.19487179487179487,0.041025641025641026,0.28205128205128205,0.05641025641025641,0.046153846153846156,0.015384615384615385,0.035897435897435895,0.005128205128205128,0.0
IV,0.0,0.3880597014925373,0.16417910447761194,0.022388059701492536,0.13432835820895522,0.04477611940298507,0.05970149253731343,0.11940298507462686,0.04477611940298507,0.022388059701492536,0.0,0.0,0.0
VI,0.06451612903225806,0.06451612903225806,0.0,0.0,0.12903225806451613,0.0967741935483871,0.1935483870967742,0.0,0.03225806451612903,0.0,0.0967741935483871,0.03225806451612903,0.2903225806451613
III,0.0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0
V,0.0,0.20149253731343283,0.14925373134328357,0.029850746268656716,0.1865671641791045,0.014925373134328358,0.1791044776119403,0.17164179104477612,0.0,0.06716417910447761,0.0,0.0,0.0
II,0.0,0.045454545454545456,0.18181818181818182,0.13636363636363635,0.3181818181818182,0.045454545454545456,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
vi,0.008849557522123894,0.18584070796460178,0.0,0.05309734513274336,0.40707964601769914,0.017699115044247787,0.25663716814159293,0.061946902654867256,0.0,0.0,0.008849557522123894,0.0,0.0
VII,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365,0.0
iv,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.7272727272727273,0.0,0.0
v,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0
