,i,vi,III,IV,II,iii,VI,iv,VII,V,v,I,#VI,ii,#II
III,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.07692307692307693,0.0,0.0,0.038461538461538464,0.11538461538461539,0.0,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.15384615384615385,0.038461538461538464,0.0,0.0,0.0,0.0
iv,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
ii,0.0,0.0703125,0.0,0.0703125,0.0078125,0.0703125,0.0078125,0.0,0.0,0.09375,0.0546875,0.328125,0.0859375,0.1953125,0.015625
V,0.008797653958944282,0.21407624633431085,0.0,0.20527859237536658,0.04105571847507331,0.017595307917888565,0.0,0.0,0.0,0.1436950146627566,0.0,0.2697947214076246,0.0,0.07624633431085044,0.02346041055718475
I,0.0,0.12734864300626306,0.006263048016701462,0.18997912317327767,0.06263048016701461,0.04175365344467641,0.0,0.008350730688935281,0.010438413361169102,0.27348643006263046,0.010438413361169102,0.1837160751565762,0.014613778705636743,0.0709812108559499,0.0
IV,0.0,0.0673758865248227,0.024822695035460994,0.07801418439716312,0.0035460992907801418,0.04609929078014184,0.0070921985815602835,0.014184397163120567,0.0,0.3049645390070922,0.0035460992907801418,0.36879432624113473,0.010638297872340425,0.0673758865248227,0.0035460992907801418
II,0.0,0.0125,0.025,0.05,0.1125,0.15,0.0125,0.0,0.0625,0.2375,0.0,0.3,0.0,0.0125,0.025
iii,0.0,0.12121212121212122,0.0,0.32323232323232326,0.18181818181818182,0.030303030303030304,0.04040404040404041,0.0,0.020202020202020204,0.010101010101010102,0.0,0.24242424242424243,0.0,0.030303030303030304,0.0
vi,0.0,0.1991701244813278,0.016597510373443983,0.2074688796680498,0.03319502074688797,0.08298755186721991,0.008298755186721992,0.0,0.008298755186721992,0.26141078838174275,0.004149377593360996,0.14937759336099585,0.008298755186721992,0.012448132780082987,0.008298755186721992
v,0.2916666666666667,0.0,0.0,0.125,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.4583333333333333,0.0,0.0,0.0
#II,0.0,0.0,0.10526315789473684,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.05263157894736842,0.10526315789473684
VII,0.1111111111111111,0.0,0.027777777777777776,0.0,0.0,0.16666666666666666,0.1111111111111111,0.0,0.08333333333333333,0.027777777777777776,0.19444444444444445,0.2222222222222222,0.05555555555555555,0.0,0.0
VI,0.043478260869565216,0.043478260869565216,0.0,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.17391304347826086,0.21739130434782608,0.043478260869565216,0.0,0.043478260869565216,0.0,0.13043478260869565,0.0
#VI,0.0,0.03125,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.03125,0.625,0.03125,0.125,0.0
