,II,VI,IV,V,I,iii,vi,ii,VII,i,III,v,#VI,#iv,iv,bV,bII
V,0.08401084010840108,0.08130081300813008,0.14363143631436315,0.10840108401084012,0.3062330623306233,0.02168021680216802,0.19241192411924118,0.024390243902439025,0.024390243902439025,0.005420054200542005,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0
II,0.02564102564102564,0.15384615384615385,0.07692307692307693,0.23931623931623933,0.3076923076923077,0.08547008547008547,0.017094017094017096,0.0,0.0,0.0,0.042735042735042736,0.03418803418803419,0.017094017094017096,0.0,0.0,0.0,0.0
VI,0.06349206349206349,0.14285714285714285,0.1111111111111111,0.15873015873015872,0.1746031746031746,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.031746031746031744,0.0,0.20634920634920634,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0
IV,0.02247191011235955,0.0,0.052434456928838954,0.40823970037453183,0.30711610486891383,0.026217228464419477,0.07116104868913857,0.0749063670411985,0.0,0.0,0.0,0.0,0.026217228464419477,0.0,0.011235955056179775,0.0,0.0
I,0.10361445783132531,0.004819277108433735,0.16626506024096385,0.3036144578313253,0.163855421686747,0.03132530120481928,0.05783132530120482,0.0963855421686747,0.004819277108433735,0.004819277108433735,0.0,0.007228915662650603,0.024096385542168676,0.0,0.03132530120481928,0.0,0.0
#VI,0.0,0.02631578947368421,0.23684210526315788,0.10526315789473684,0.4473684210526316,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0
vi,0.010810810810810811,0.0,0.22162162162162163,0.21621621621621623,0.11891891891891893,0.1945945945945946,0.16216216216216217,0.04864864864864865,0.0,0.0,0.016216216216216217,0.0,0.010810810810810811,0.0,0.0,0.0,0.0
III,0.03571428571428571,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.4642857142857143,0.0,0.2857142857142857,0.0
ii,0.0851063829787234,0.010638297872340425,0.20212765957446807,0.1702127659574468,0.2127659574468085,0.07446808510638298,0.07446808510638298,0.05319148936170213,0.0,0.0,0.0,0.02127659574468085,0.09574468085106383,0.0,0.0,0.0,0.0
iii,0.052083333333333336,0.010416666666666666,0.4166666666666667,0.041666666666666664,0.15625,0.0625,0.21875,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.3181818181818182,0.0,0.0,0.0,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0
v,0.0,0.1111111111111111,0.0,0.0,0.3888888888888889,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0
i,0.23529411764705882,0.0,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.29411764705882354,0.0,0.0
iv,0.0,0.0,0.0,0.043478260869565216,0.6521739130434783,0.043478260869565216,0.0,0.0,0.17391304347826086,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#iv,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0
bV,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0
