,II,vi,III,I,IV,V,ii,iii,VII,#VI,VI,i
I,0.1111111111111111,0.03968253968253968,0.015873015873015872,0.10317460317460317,0.20634920634920634,0.20634920634920634,0.15873015873015872,0.07142857142857142,0.015873015873015872,0.05555555555555555,0.015873015873015872,0.0
II,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0
iii,0.0,0.13513513513513514,0.0,0.5405405405405406,0.21621621621621623,0.05405405405405406,0.0,0.0,0.0,0.0,0.05405405405405406,0.0
vi,0.08571428571428572,0.07142857142857142,0.07142857142857142,0.08571428571428572,0.2714285714285714,0.12857142857142856,0.11428571428571428,0.17142857142857143,0.0,0.0,0.0,0.0
IV,0.0,0.05172413793103448,0.04310344827586207,0.39655172413793105,0.02586206896551724,0.4051724137931034,0.0603448275862069,0.0,0.0,0.0,0.017241379310344827,0.0
ii,0.0,0.2153846153846154,0.03076923076923077,0.15384615384615385,0.26153846153846155,0.27692307692307694,0.06153846153846154,0.0,0.0,0.0,0.0,0.0
V,0.03225806451612903,0.04838709677419355,0.0,0.28225806451612906,0.1693548387096774,0.10483870967741936,0.1532258064516129,0.024193548387096774,0.0,0.0,0.1693548387096774,0.016129032258064516
VI,0.07142857142857142,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.17857142857142858,0.0,0.0,0.0
III,0.0,0.5333333333333333,0.2,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0
#VI,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.3
i,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333
