,IV,V,I,II,iii,#VI,vi,ii,VI,VII,#IV,III,i,bII
I,0.25136612021857924,0.3442622950819672,0.07650273224043716,0.0546448087431694,0.0273224043715847,0.03278688524590164,0.07650273224043716,0.11475409836065574,0.01639344262295082,0.00546448087431694,0.0,0.0,0.0,0.0
IV,0.05755395683453238,0.2949640287769784,0.4460431654676259,0.007194244604316547,0.02158273381294964,0.014388489208633094,0.02158273381294964,0.02877697841726619,0.0,0.007194244604316547,0.07194244604316546,0.02877697841726619,0.0,0.0
V,0.1951219512195122,0.1524390243902439,0.34146341463414637,0.11585365853658537,0.012195121951219513,0.0,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.0,0.006097560975609756,0.0,0.006097560975609756,0.0
iii,0.34210526315789475,0.02631578947368421,0.21052631578947367,0.02631578947368421,0.07894736842105263,0.0,0.21052631578947367,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
II,0.09433962264150944,0.20754716981132076,0.1509433962264151,0.3584905660377358,0.09433962264150944,0.0,0.018867924528301886,0.0,0.0,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.0,0.0
#VI,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365,0.0,0.18181818181818182,0.36363636363636365,0.0
III,0.22727272727272727,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.36363636363636365,0.3181818181818182,0.0,0.0,0.0,0.0
VII,0.045454545454545456,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.13636363636363635,0.18181818181818182,0.0
VI,0.1,0.15,0.0,0.075,0.0,0.0,0.0,0.05,0.3,0.1,0.15,0.05,0.025,0.0
vi,0.22413793103448276,0.3448275862068966,0.10344827586206896,0.017241379310344827,0.22413793103448276,0.0,0.017241379310344827,0.05172413793103448,0.0,0.0,0.0,0.017241379310344827,0.0,0.0
bII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.9705882352941176
#IV,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,0.0
ii,0.2127659574468085,0.0425531914893617,0.3617021276595745,0.0,0.1276595744680851,0.0425531914893617,0.0851063829787234,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0
