,V,IV,I,iii,ii,#II,III,VI,#V,vi,iv,#VI,II,VII,#iv,#I
vi,0.24293785310734464,0.3050847457627119,0.12994350282485875,0.07344632768361582,0.12429378531073447,0.005649717514124294,0.01694915254237288,0.011299435028248588,0.005649717514124294,0.062146892655367235,0.005649717514124294,0.01694915254237288,0.0,0.0,0.0,0.0
V,0.0981012658227848,0.2689873417721519,0.23417721518987342,0.0189873417721519,0.04430379746835443,0.0031645569620253164,0.00949367088607595,0.012658227848101266,0.0,0.2120253164556962,0.0,0.02531645569620253,0.060126582278481014,0.00949367088607595,0.0031645569620253164,0.0
IV,0.2967032967032967,0.04395604395604396,0.29395604395604397,0.02197802197802198,0.06043956043956044,0.005494505494505495,0.01098901098901099,0.019230769230769232,0.057692307692307696,0.06868131868131869,0.019230769230769232,0.04395604395604396,0.038461538461538464,0.013736263736263736,0.0,0.005494505494505495
#I,0.0,0.25,0.14285714285714285,0.0,0.03571428571428571,0.4642857142857143,0.0,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#II,0.061224489795918366,0.16326530612244897,0.04081632653061224,0.0,0.1836734693877551,0.02040816326530612,0.0,0.0,0.08163265306122448,0.02040816326530612,0.04081632653061224,0.16326530612244897,0.061224489795918366,0.0,0.0,0.16326530612244897
#V,0.13333333333333333,0.5,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.23333333333333334,0.0,0.0,0.0,0.0
#VI,0.02702702702702703,0.32432432432432434,0.20270270270270271,0.013513513513513514,0.05405405405405406,0.08108108108108109,0.0,0.013513513513513514,0.0,0.04054054054054054,0.0,0.13513513513513514,0.05405405405405406,0.0,0.0,0.05405405405405406
ii,0.08904109589041095,0.2808219178082192,0.18493150684931506,0.15753424657534246,0.03424657534246575,0.02054794520547945,0.0136986301369863,0.03424657534246575,0.0,0.0684931506849315,0.0136986301369863,0.0410958904109589,0.0,0.0,0.0,0.06164383561643835
I,0.30538922155688625,0.20059880239520958,0.18263473053892215,0.014970059880239521,0.09281437125748503,0.023952095808383235,0.005988023952095809,0.005988023952095809,0.0,0.05389221556886228,0.0,0.03592814371257485,0.05089820359281437,0.011976047904191617,0.0,0.014970059880239521
II,0.25,0.1323529411764706,0.11764705882352941,0.08823529411764706,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.08823529411764706,0.0,0.014705882352941176,0.0,0.0,0.2647058823529412,0.0,0.0,0.0
VI,0.06578947368421052,0.09210526315789473,0.013157894736842105,0.34210526315789475,0.09210526315789473,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.0,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.13157894736842105,0.06578947368421052,0.0,0.0
iii,0.18269230769230768,0.14423076923076922,0.0673076923076923,0.0,0.1346153846153846,0.0,0.0,0.3269230769230769,0.0,0.10576923076923077,0.0,0.0,0.0,0.038461538461538464,0.0,0.0
VII,0.041666666666666664,0.0,0.375,0.2916666666666667,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0
iv,0.1,0.0,0.25,0.0,0.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
III,0.07407407407407407,0.18518518518518517,0.037037037037037035,0.0,0.0,0.037037037037037035,0.4444444444444444,0.0,0.0,0.18518518518518517,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
