,#VI,ii,V,vi,I,IV,VI,II,iii,i,III,#II,bIII,#V,VII,iv,bVII,#I,v,#IV,vii
I,0.027414727446605038,0.05929231750079694,0.3905004781638508,0.09021357985336309,0.09467644246094996,0.19987248963978324,0.014982467325470195,0.043991074274784825,0.031877590054191905,0.002550207204335352,0.021357985336308574,0.011475932419509085,0.000637551801083838,0.0031877590054191903,0.004144086707044948,0.0022314313037934334,0.0015938795027095952,0.0,0.0,0.0,0.0
#VI,0.046052631578947366,0.039473684210526314,0.13157894736842105,0.019736842105263157,0.40789473684210525,0.24671052631578946,0.01644736842105263,0.0,0.0,0.049342105263157895,0.003289473684210526,0.019736842105263157,0.0,0.006578947368421052,0.0,0.0,0.0,0.009868421052631578,0.003289473684210526,0.0,0.0
V,0.02632515119174671,0.08929206688011383,0.056207755247242974,0.17787264318747775,0.28424048381358946,0.21736036997509783,0.022056207755247245,0.06367840626111704,0.022767698327997153,0.012806830309498399,0.005691924581999288,0.0035574528637495554,0.0,0.002845962290999644,0.006047669868374244,0.0,0.007114905727499111,0.0,0.0,0.0021344717182497333,0.0
vi,0.004889975550122249,0.05134474327628362,0.21923390383048086,0.05460472697636512,0.15403422982885084,0.34963325183374083,0.011409942950285249,0.030969845150774247,0.06356968215158924,0.0008149959250203749,0.04156479217603912,0.0,0.0,0.0024449877750611247,0.013039934800325998,0.0016299918500407497,0.0008149959250203749,0.0,0.0,0.0,0.0
IV,0.018257261410788383,0.07302904564315353,0.25933609958506226,0.04605809128630706,0.4759336099585062,0.04398340248962656,0.007053941908713693,0.024481327800829875,0.008298755186721992,0.0,0.011203319502074689,0.004149377593360996,0.0012448132780082987,0.006224066390041493,0.011203319502074689,0.006639004149377593,0.0004149377593360996,0.0012448132780082987,0.0008298755186721991,0.0004149377593360996,0.0
iv,0.0,0.022727272727272728,0.3522727272727273,0.03409090909090909,0.22727272727272727,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.32954545454545453,0.011363636363636364,0.0,0.0,0.0,0.0,0.0
ii,0.049596309111880045,0.04498269896193772,0.2698961937716263,0.04382929642445214,0.1914648212226067,0.3021914648212226,0.00461361014994233,0.0011534025374855825,0.01384083044982699,0.0,0.02306805074971165,0.0,0.002306805074971165,0.0,0.0,0.008073817762399077,0.002306805074971165,0.00461361014994233,0.03690888119953864,0.0,0.0011534025374855825
iii,0.0,0.09569377990430622,0.08133971291866028,0.12200956937799043,0.28708133971291866,0.1722488038277512,0.13636363636363635,0.04784688995215311,0.007177033492822967,0.004784688995215311,0.004784688995215311,0.011961722488038277,0.007177033492822967,0.0,0.007177033492822967,0.0,0.0,0.0,0.007177033492822967,0.0,0.007177033492822967
II,0.013671875,0.0078125,0.23828125,0.080078125,0.294921875,0.126953125,0.04296875,0.017578125,0.099609375,0.0,0.017578125,0.0078125,0.0,0.0,0.00390625,0.0,0.0390625,0.0,0.00390625,0.0,0.005859375
VI,0.002785515320334262,0.14484679665738162,0.1532033426183844,0.04178272980501393,0.12534818941504178,0.08635097493036212,0.036211699164345405,0.0807799442896936,0.10306406685236769,0.0,0.016713091922005572,0.005571030640668524,0.0,0.0,0.07520891364902507,0.08913649025069638,0.002785515320334262,0.002785515320334262,0.033426183844011144,0.0,0.0
