,vi,V,I,IV,ii,iii,III,#VI,II,VI,#V,iv
I,0.1228813559322034,0.19491525423728814,0.15677966101694915,0.2627118644067797,0.07627118644067797,0.046610169491525424,0.059322033898305086,0.012711864406779662,0.0423728813559322,0.00847457627118644,0.01694915254237288,0.0
vi,0.029411764705882353,0.3088235294117647,0.08823529411764706,0.3088235294117647,0.10294117647058823,0.10294117647058823,0.014705882352941176,0.0,0.04411764705882353,0.0,0.0,0.0
IV,0.03896103896103896,0.2662337662337662,0.34415584415584416,0.1038961038961039,0.16233766233766234,0.01948051948051948,0.006493506493506494,0.0,0.0,0.0,0.025974025974025976,0.032467532467532464
iv,0.0,0.1111111111111111,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0935672514619883,0.0935672514619883,0.4444444444444444,0.19883040935672514,0.06432748538011696,0.017543859649122806,0.0,0.0,0.0,0.07017543859649122,0.005847953216374269,0.011695906432748537
VI,0.0,0.53125,0.15625,0.09375,0.0625,0.0625,0.0,0.0,0.09375,0.0,0.0,0.0
#VI,0.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
ii,0.0,0.4358974358974359,0.19230769230769232,0.11538461538461539,0.038461538461538464,0.02564102564102564,0.0,0.16666666666666666,0.0,0.0,0.0,0.02564102564102564
iii,0.18181818181818182,0.15151515151515152,0.15151515151515152,0.30303030303030304,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
III,0.2222222222222222,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
#V,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.0,0.3125,0.125,0.0625,0.0,0.0,0.0,0.0625,0.0625,0.375,0.0,0.0
