,vi,IV,V,I,iv,II,ii,III,iii,VI,#VI,VII,i,#V,#II,#I
V,0.13753581661891118,0.2349570200573066,0.12320916905444126,0.3008595988538682,0.0028653295128939827,0.02865329512893983,0.07163323782234957,0.0057306590257879654,0.022922636103151862,0.02005730659025788,0.02005730659025788,0.008595988538681949,0.017191977077363897,0.0057306590257879654,0.0,0.0
vi,0.08333333333333333,0.2824074074074074,0.24074074074074073,0.16203703703703703,0.004629629629629629,0.013888888888888888,0.06944444444444445,0.041666666666666664,0.09259259259259259,0.0,0.0,0.004629629629629629,0.0,0.004629629629629629,0.0,0.0
I,0.09514925373134328,0.2630597014925373,0.21828358208955223,0.15111940298507462,0.0037313432835820895,0.048507462686567165,0.10820895522388059,0.026119402985074626,0.020522388059701493,0.014925373134328358,0.03544776119402985,0.005597014925373134,0.0018656716417910447,0.0037313432835820895,0.0037313432835820895,0.0
#I,0.0,0.0,0.0,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.14814814814814814,0.0
#II,0.0,0.07142857142857142,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.03571428571428571
#V,0.0,0.0,0.25,0.0625,0.0,0.0,0.125,0.0,0.0,0.0,0.3125,0.0,0.0,0.1875,0.0625,0.0
#VI,0.02127659574468085,0.1702127659574468,0.06382978723404255,0.3404255319148936,0.0,0.0851063829787234,0.14893617021276595,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.02127659574468085,0.0,0.0851063829787234
VI,0.0,0.13043478260869565,0.2391304347826087,0.1956521739130435,0.10869565217391304,0.021739130434782608,0.10869565217391304,0.0,0.0,0.17391304347826086,0.0,0.021739130434782608,0.0,0.0,0.0,0.0
IV,0.07710843373493977,0.0891566265060241,0.25301204819277107,0.3686746987951807,0.007228915662650603,0.004819277108433735,0.0891566265060241,0.016867469879518072,0.004819277108433735,0.0,0.014457831325301205,0.014457831325301205,0.0,0.007228915662650603,0.05301204819277108,0.0
II,0.0,0.15151515151515152,0.06060606060606061,0.22727272727272727,0.0,0.045454545454545456,0.06060606060606061,0.015151515151515152,0.045454545454545456,0.0,0.06060606060606061,0.0,0.015151515151515152,0.0,0.0,0.3181818181818182
iv,0.0,0.045454545454545456,0.13636363636363635,0.5454545454545454,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.13636363636363635,0.09090909090909091,0.0,0.0,0.0
iii,0.27941176470588236,0.36764705882352944,0.08823529411764706,0.08823529411764706,0.0,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0
ii,0.0872093023255814,0.23837209302325582,0.14534883720930233,0.25,0.023255813953488372,0.005813953488372093,0.0755813953488372,0.023255813953488372,0.09883720930232558,0.0,0.05232558139534884,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
III,0.2926829268292683,0.1951219512195122,0.04878048780487805,0.024390243902439025,0.0,0.0,0.024390243902439025,0.14634146341463414,0.04878048780487805,0.21951219512195122,0.0,0.0,0.0,0.0,0.0,0.0
i,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.45,0.0,0.0,0.1
