,V,I,ii,IV,II,vi,#V,i,VI,#VI,iii,III,#I,#II,VII,v
I,0.23093681917211328,0.21350762527233116,0.10239651416122005,0.22004357298474944,0.04139433551198257,0.12636165577342048,0.010893246187363835,0.002178649237472767,0.015250544662309368,0.017429193899782137,0.013071895424836602,0.002178649237472767,0.004357298474945534,0.0,0.0,0.0
V,0.10903426791277258,0.29595015576323985,0.03426791277258567,0.2087227414330218,0.028037383177570093,0.19937694704049844,0.0,0.0,0.037383177570093455,0.03115264797507788,0.009345794392523364,0.0,0.0,0.024922118380062305,0.021806853582554516,0.0
ii,0.1686746987951807,0.18072289156626506,0.15060240963855423,0.3313253012048193,0.006024096385542169,0.024096385542168676,0.0,0.0,0.030120481927710843,0.03614457831325301,0.04216867469879518,0.006024096385542169,0.0,0.0,0.0,0.024096385542168676
IV,0.2608695652173913,0.4701086956521739,0.08967391304347826,0.06793478260869565,0.005434782608695652,0.04076086956521739,0.0,0.0,0.0,0.016304347826086956,0.019021739130434784,0.010869565217391304,0.0,0.008152173913043478,0.010869565217391304,0.0
VI,0.0851063829787234,0.02127659574468085,0.2553191489361702,0.1276595744680851,0.02127659574468085,0.1276595744680851,0.0,0.0,0.0851063829787234,0.10638297872340426,0.02127659574468085,0.06382978723404255,0.0,0.0,0.0425531914893617,0.0425531914893617
iii,0.20833333333333334,0.22916666666666666,0.125,0.125,0.0,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.08333333333333333,0.020833333333333332
vi,0.16831683168316833,0.12376237623762376,0.12871287128712872,0.3217821782178218,0.034653465346534656,0.06435643564356436,0.0,0.0,0.019801980198019802,0.0,0.024752475247524754,0.09405940594059406,0.0,0.0,0.019801980198019802,0.0
#VI,0.0,0.4358974358974359,0.0,0.358974358974359,0.0,0.0,0.0,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.0,0.0
II,0.3333333333333333,0.1282051282051282,0.0,0.15384615384615385,0.02564102564102564,0.1282051282051282,0.0,0.0,0.05128205128205128,0.05128205128205128,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0,0.0
VII,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.4230769230769231,0.3076923076923077,0.0,0.0,0.038461538461538464,0.038461538461538464
III,0.0,0.0,0.023809523809523808,0.047619047619047616,0.0,0.5476190476190477,0.0,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.09523809523809523,0.0
#V,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.1875,0.0,0.0,0.4375,0.0,0.0,0.0
i,0.05263157894736842,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.6052631578947368,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.2631578947368421
#II,0.0,0.0,0.0,0.7222222222222222,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0
v,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#I,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.07692307692307693,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
