,vi,V,ii,IV,iii,I,II,#VI,III,VI,VII
V,0.16901408450704225,0.11971830985915492,0.056338028169014086,0.34507042253521125,0.02112676056338028,0.1619718309859155,0.11267605633802817,0.007042253521126761,0.007042253521126761,0.0,0.0
vi,0.1625,0.1875,0.225,0.3,0.0,0.05,0.0,0.05,0.025,0.0,0.0
I,0.13636363636363635,0.30303030303030304,0.045454545454545456,0.11363636363636363,0.007575757575757576,0.030303030303030304,0.16666666666666666,0.022727272727272728,0.06818181818181818,0.10606060606060606,0.0
#VI,0.2,0.0,0.0,0.4,0.0,0.35,0.0,0.05,0.0,0.0,0.0
IV,0.0,0.40816326530612246,0.02040816326530612,0.047619047619047616,0.07482993197278912,0.29931972789115646,0.061224489795918366,0.013605442176870748,0.07482993197278912,0.0,0.0
ii,0.11538461538461539,0.19230769230769232,0.15384615384615385,0.23076923076923078,0.0,0.15384615384615385,0.0,0.11538461538461539,0.038461538461538464,0.0,0.0
II,0.03333333333333333,0.11666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.05,0.13333333333333333,0.0,0.16666666666666666,0.11666666666666667,0.11666666666666667
iii,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.0967741935483871,0.0,0.3548387096774194,0.06451612903225806,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
III,0.02702702702702703,0.0,0.0,0.21621621621621623,0.0,0.21621621621621623,0.21621621621621623,0.0,0.08108108108108109,0.24324324324324326,0.0
VI,0.0,0.4444444444444444,0.0,0.0,0.0,0.37037037037037035,0.0,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0
