,IV,I,V,II,vi,ii,#VI,VII,iii,III,i
#VI,0.5454545454545454,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.36597938144329895,0.17010309278350516,0.2422680412371134,0.03608247422680412,0.12886597938144329,0.030927835051546393,0.005154639175257732,0.010309278350515464,0.010309278350515464,0.0,0.0
V,0.23134328358208955,0.23880597014925373,0.1044776119402985,0.04477611940298507,0.16417910447761194,0.1417910447761194,0.014925373134328358,0.0,0.03731343283582089,0.022388059701492536,0.0
iii,0.42857142857142855,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,0.0,0.0
IV,0.1242603550295858,0.46745562130177515,0.23668639053254437,0.011834319526627219,0.0650887573964497,0.023668639053254437,0.023668639053254437,0.011834319526627219,0.029585798816568046,0.0,0.005917159763313609
II,0.2,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.2,0.0,0.0
vi,0.21782178217821782,0.27722772277227725,0.2079207920792079,0.019801980198019802,0.0891089108910891,0.10891089108910891,0.0,0.0,0.04950495049504951,0.0297029702970297,0.0
III,0.15384615384615385,0.0,0.0,0.07692307692307693,0.38461538461538464,0.0,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0
VII,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.36363636363636365
ii,0.23404255319148937,0.0851063829787234,0.3404255319148936,0.0,0.1702127659574468,0.02127659574468085,0.1276595744680851,0.0,0.0,0.02127659574468085,0.0
i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
