,I,ii,#VI,V,iii,IV,#II,vi,III,v,VI,II,iv,bVII,#I,i,VII,bIII,vii,#vi,bII,#V,#IV,bi
ii,0.2426086956521739,0.07565217391304348,0.05652173913043478,0.2539130434782609,0.05652173913043478,0.18347826086956523,0.00782608695652174,0.0408695652173913,0.04608695652173913,0.008695652173913044,0.0017391304347826088,0.01217391304347826,0.00782608695652174,0.0026086956521739132,0.0034782608695652175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.11230931088900578,0.08206207259337191,0.028406102051551814,0.3069437138348238,0.033666491320357705,0.22093634928984746,0.003156233561283535,0.10520778537611783,0.017359284587059442,0.0026301946344029457,0.00920568122041031,0.05760126249342452,0.004471330878485008,0.002367175170962651,0.0,0.0015781167806417674,0.010783798001052078,0.0002630194634402946,0.0010520778537611783,0.0,0.0,0.0,0.0,0.0
#VI,0.34967320261437906,0.12745098039215685,0.0032679738562091504,0.06209150326797386,0.0,0.30718954248366015,0.006535947712418301,0.00980392156862745,0.0,0.006535947712418301,0.058823529411764705,0.016339869281045753,0.00980392156862745,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.013071895424836602,0.0,0.0,0.0,0.0
IV,0.45058023209283715,0.07322929171668667,0.01520608243297319,0.2617046818727491,0.008803521408563426,0.044017607042817125,0.003601440576230492,0.040416166466586634,0.025610244097639057,0.009603841536614645,0.010804321728691477,0.01600640256102441,0.006002400960384154,0.00040016006402561027,0.011204481792717087,0.00040016006402561027,0.0056022408963585435,0.0,0.0,0.00040016006402561027,0.003201280512204882,0.008403361344537815,0.004801920768307323,0.0
VI,0.09326424870466321,0.10103626943005181,0.007772020725388601,0.09844559585492228,0.05181347150259067,0.18393782383419688,0.0,0.0051813471502590676,0.015544041450777202,0.0,0.13730569948186527,0.08808290155440414,0.06994818652849741,0.0,0.0,0.02072538860103627,0.12176165803108809,0.0,0.0051813471502590676,0.0,0.0,0.0,0.0,0.0
V,0.3108962439568613,0.08888062476757158,0.02342878393454816,0.09036816660468576,0.020453700260319823,0.17478616586091483,0.005578281889178133,0.15582000743770918,0.008925251022685012,0.0,0.030122722201561918,0.05689847526961696,0.0014875418371141688,0.0007437709185570844,0.0,0.013015991074748977,0.015619189289698772,0.0,0.0003718854592785422,0.0,0.0,0.0014875418371141688,0.0011156563778356265,0.0
vi,0.26325757575757575,0.07702020202020202,0.003787878787878788,0.16035353535353536,0.052398989898989896,0.28724747474747475,0.0,0.06944444444444445,0.04734848484848485,0.0,0.001893939393939394,0.022095959595959596,0.0,0.0,0.0,0.0012626262626262627,0.012626262626262626,0.0,0.0,0.0,0.0,0.0012626262626262627,0.0,0.0
iv,0.4020618556701031,0.010309278350515464,0.0,0.1958762886597938,0.0,0.0,0.0,0.0,0.0,0.0,0.061855670103092786,0.0,0.0,0.010309278350515464,0.0,0.020618556701030927,0.29896907216494845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.21521335807050093,0.10946196660482375,0.0,0.03710575139146568,0.016697588126159554,0.14100185528756956,0.0,0.29313543599257885,0.0037105751391465678,0.011131725417439703,0.09461966604823747,0.03339517625231911,0.0,0.0,0.0,0.0074211502782931356,0.014842300556586271,0.011131725417439703,0.011131725417439703,0.0,0.0,0.0,0.0,0.0
III,0.08814589665653495,0.030395136778115502,0.0,0.0547112462006079,0.0121580547112462,0.1884498480243161,0.0,0.45592705167173253,0.057750759878419454,0.00911854103343465,0.08814589665653495,0.015197568389057751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#V,0.0975609756097561,0.0,0.2926829268292683,0.2926829268292683,0.0,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0
#II,0.04477611940298507,0.05970149253731343,0.208955223880597,0.0,0.0,0.3283582089552239,0.0,0.0,0.029850746268656716,0.13432835820895522,0.0,0.029850746268656716,0.0,0.0,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.1044776119402985,0.0,0.0
i,0.0,0.0,0.05963302752293578,0.01834862385321101,0.0,0.03669724770642202,0.0,0.0,0.0,0.11926605504587157,0.1834862385321101,0.05504587155963303,0.0963302752293578,0.0,0.0,0.3394495412844037,0.09174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.2691588785046729,0.048598130841121495,0.005607476635514018,0.14953271028037382,0.09906542056074766,0.11775700934579439,0.011214953271028037,0.15140186915887852,0.016822429906542057,0.020560747663551402,0.011214953271028037,0.07102803738317758,0.003738317757009346,0.018691588785046728,0.0,0.001869158878504673,0.0,0.0,0.0,0.0,0.003738317757009346,0.0,0.0,0.0
#I,0.717948717948718,0.05128205128205128,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.10256410256410256,0.0
#IV,0.0,0.0,0.0,0.30434782608695654,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.17391304347826086,0.17391304347826086,0.0
#vi,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.02127659574468085,0.0,0.0,0.14893617021276595,0.35319148936170214,0.0425531914893617,0.0,0.01702127659574468,0.07234042553191489,0.029787234042553193,0.0851063829787234,0.0,0.00851063829787234,0.0,0.0,0.15319148936170213,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.00425531914893617
bIII,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
bII,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bVII,0.7741935483870968,0.0,0.0,0.03225806451612903,0.0,0.12903225806451613,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0
vii,0.125,0.3125,0.0,0.0,0.125,0.0,0.0,0.0625,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
v,0.2,0.0,0.05217391304347826,0.0,0.017391304347826087,0.12173913043478261,0.034782608695652174,0.017391304347826087,0.008695652173913044,0.06086956521739131,0.0782608695652174,0.008695652173913044,0.0,0.017391304347826087,0.0,0.3130434782608696,0.05217391304347826,0.017391304347826087,0.0,0.0,0.0,0.0,0.0,0.0
