,I,ii,iii,IV,V,II,vi,VI,III,v,#VI,i,VII,iv
vi,0.18360655737704917,0.04918032786885246,0.11147540983606558,0.32786885245901637,0.2459016393442623,0.006557377049180328,0.04590163934426229,0.003278688524590164,0.022950819672131147,0.003278688524590164,0.0,0.0,0.0,0.0
I,0.042222222222222223,0.06888888888888889,0.03777777777777778,0.2511111111111111,0.3688888888888889,0.03333333333333333,0.12666666666666668,0.017777777777777778,0.011111111111111112,0.0022222222222222222,0.02666666666666667,0.0022222222222222222,0.008888888888888889,0.0022222222222222222
V,0.21897810218978103,0.10948905109489052,0.019464720194647202,0.2141119221411192,0.072992700729927,0.06082725060827251,0.19951338199513383,0.031630170316301706,0.038929440389294405,0.0,0.0072992700729927005,0.0072992700729927005,0.019464720194647202,0.0
IV,0.3864628820960699,0.07641921397379912,0.024017467248908297,0.05021834061135371,0.2685589519650655,0.015283842794759825,0.1331877729257642,0.0,0.03056768558951965,0.002183406113537118,0.010917030567685589,0.0,0.0,0.002183406113537118
ii,0.24,0.02857142857142857,0.05142857142857143,0.22285714285714286,0.21142857142857144,0.0,0.10857142857142857,0.017142857142857144,0.02857142857142857,0.005714285714285714,0.08571428571428572,0.0,0.0,0.0
#VI,0.19047619047619047,0.047619047619047616,0.0,0.5952380952380952,0.09523809523809523,0.023809523809523808,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
II,0.1864406779661017,0.03389830508474576,0.15254237288135594,0.13559322033898305,0.1864406779661017,0.11864406779661017,0.0847457627118644,0.06779661016949153,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0
III,0.022222222222222223,0.06666666666666667,0.0,0.3111111111111111,0.044444444444444446,0.022222222222222223,0.26666666666666666,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
iii,0.1346153846153846,0.07692307692307693,0.0673076923076923,0.27884615384615385,0.11538461538461539,0.038461538461538464,0.19230769230769232,0.0,0.0,0.0,0.009615384615384616,0.0,0.07692307692307693,0.009615384615384616
VI,0.2835820895522388,0.07462686567164178,0.014925373134328358,0.08955223880597014,0.014925373134328358,0.04477611940298507,0.029850746268656716,0.05970149253731343,0.029850746268656716,0.014925373134328358,0.0,0.1044776119402985,0.19402985074626866,0.04477611940298507
iv,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.5,0.0,0.1111111111111111
v,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.2,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.2
i,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.1875,0.0,0.0,0.0,0.3541666666666667,0.20833333333333334,0.1875
VII,0.2,0.0,0.15,0.05,0.1,0.0,0.0,0.225,0.0,0.0,0.0,0.15,0.125,0.0
