,I,#iii,#vii,II,V,ii,IV,vi,iii,III,VI,#VI,VII,v,iv,#II,bIII,i,bVII,bII,vii,#I,#V,#IV,#III,bVI,#i,#VII,#ii
#iii,0.6896551724137931,0.034482758620689655,0.27586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.09171927218715188,0.0,0.0,0.034905310063126624,0.4051243965837356,0.06164129223913851,0.1994058670627553,0.10100259933160044,0.0415893056071296,0.013739324173783884,0.007426661715558856,0.0207946528035648,0.0003713330857779428,0.0011139992573338284,0.0011139992573338284,0.0022279985146676567,0.0029706646862235424,0.0007426661715558856,0.008540660972892685,0.005569996286669142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.11235955056179775,0.0702247191011236,0.0,0.08426966292134831,0.17134831460674158,0.011235955056179775,0.1601123595505618,0.11235955056179775,0.07303370786516854,0.0,0.11797752808988764,0.05056179775280899,0.0,0.02247191011235955,0.0,0.0,0.0,0.0,0.0,0.0,0.008426966292134831,0.0056179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.2911449016100179,0.0,0.0013416815742397137,0.056797853309481214,0.05590339892665474,0.07826475849731664,0.17307692307692307,0.24910554561717352,0.03398926654740608,0.0022361359570661895,0.009838998211091235,0.006708407871198569,0.0035778175313059034,0.0017889087656529517,0.0,0.0,0.0,0.016547406082289804,0.016100178890876567,0.0,0.0031305903398926656,0.0,0.0004472271914132379,0.0,0.0,0.0,0.0,0.0,0.0
vi,0.15304120340091562,0.0,0.0,0.02223675604970569,0.14388489208633093,0.07325049051667756,0.4238064094179202,0.09025506867233486,0.058207979071288427,0.02354480052321779,0.0006540222367560497,0.0032701111837802484,0.0,0.003924133420536298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003924133420536298,0.0,0.0,0.0,0.0,0.0
IV,0.46663598711458815,0.0,0.0,0.004601932811780948,0.2489645651173493,0.05246203405430281,0.02945236999539807,0.08651633686148182,0.016106764841233318,0.019328117809479982,0.011044638748274275,0.008283479061205707,0.011965025310630465,0.007363092498849517,0.012425218591808559,0.0041417395306028535,0.0,0.014265991716520939,0.0050621260929590425,0.0,0.0,0.0,0.0,0.0,0.0013805798435342844,0.0,0.0,0.0,0.0
i,0.0,0.0,0.0,0.003745318352059925,0.009363295880149813,0.02247191011235955,0.07116104868913857,0.0,0.0,0.07865168539325842,0.3333333333333333,0.0,0.13295880149812733,0.1198501872659176,0.0749063670411985,0.0149812734082397,0.003745318352059925,0.08426966292134831,0.0,0.0,0.016853932584269662,0.0,0.0,0.0,0.0,0.033707865168539325,0.0,0.0,0.0
VI,0.040892193308550186,0.0,0.0,0.024163568773234202,0.06505576208178439,0.046468401486988845,0.02973977695167286,0.0018587360594795538,0.01858736059479554,0.23234200743494424,0.03717472118959108,0.0,0.24535315985130113,0.013011152416356878,0.06505576208178439,0.0,0.0,0.137546468401487,0.0,0.0,0.027881040892193308,0.007434944237918215,0.0,0.0,0.0,0.0037174721189591076,0.0037174721189591076,0.0,0.0
VII,0.06521739130434782,0.0,0.0,0.0,0.04106280193236715,0.0,0.0893719806763285,0.0,0.007246376811594203,0.16666666666666666,0.13285024154589373,0.0,0.033816425120772944,0.05555555555555555,0.07246376811594203,0.0,0.0,0.3164251207729469,0.0,0.0,0.0,0.0,0.0,0.01932367149758454,0.0,0.0,0.0,0.0,0.0
iv,0.14130434782608695,0.0,0.0,0.0,0.08152173913043478,0.021739130434782608,0.0,0.0,0.010869565217391304,0.09782608695652174,0.17391304347826086,0.043478260869565216,0.14130434782608695,0.03260869565217391,0.021739130434782608,0.0,0.0,0.13043478260869565,0.0,0.06521739130434782,0.0,0.0,0.03804347826086957,0.0,0.0,0.0,0.0,0.0,0.0
v,0.08139534883720931,0.0,0.0,0.046511627906976744,0.023255813953488372,0.0,0.05232558139534884,0.03488372093023256,0.005813953488372093,0.0,0.29651162790697677,0.011627906976744186,0.03488372093023256,0.08139534883720931,0.0,0.0,0.0,0.29069767441860467,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.005813953488372093,0.0,0.0,0.0
