,IV,I,vi,V,ii,iii,II,VI,v,III,VII,iv,i
IV,0.04597701149425287,0.6436781609195402,0.07471264367816093,0.16666666666666666,0.011494252873563218,0.017241379310344827,0.022988505747126436,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.0,0.0,0.0
I,0.26576576576576577,0.05405405405405406,0.13963963963963963,0.3333333333333333,0.05855855855855856,0.06306306306306306,0.018018018018018018,0.009009009009009009,0.009009009009009009,0.03153153153153153,0.009009009009009009,0.009009009009009009,0.0
vi,0.336,0.136,0.064,0.296,0.048,0.032,0.08,0.0,0.0,0.008,0.0,0.0,0.0
V,0.24087591240875914,0.291970802919708,0.2116788321167883,0.145985401459854,0.051094890510948905,0.014598540145985401,0.029197080291970802,0.0,0.0,0.014598540145985401,0.0,0.0,0.0
iii,0.20689655172413793,0.1724137931034483,0.2413793103448276,0.06896551724137931,0.1724137931034483,0.10344827586206896,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
ii,0.13333333333333333,0.35555555555555557,0.08888888888888889,0.15555555555555556,0.08888888888888889,0.06666666666666667,0.0,0.0,0.022222222222222223,0.06666666666666667,0.0,0.022222222222222223,0.0
II,0.2692307692307692,0.11538461538461539,0.23076923076923078,0.11538461538461539,0.0,0.07692307692307693,0.0,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0
VI,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.08571428571428572,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.37142857142857144,0.17142857142857143,0.08571428571428572
iv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.7272727272727273
i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.125,0.0,0.125
VII,0.0,0.2777777777777778,0.05555555555555555,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0
III,0.25,0.0,0.3125,0.0,0.0625,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0
v,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.2222222222222222
