,V,vi,IV,#VI,ii,III,I,iii,II,#IV,VI,i
I,0.3652173913043478,0.16521739130434782,0.0782608695652174,0.11304347826086956,0.12173913043478261,0.043478260869565216,0.05217391304347826,0.043478260869565216,0.017391304347826087,0.0,0.0,0.0
V,0.08433734939759036,0.1927710843373494,0.08433734939759036,0.0,0.012048192771084338,0.0,0.3855421686746988,0.07228915662650602,0.1566265060240964,0.012048192771084338,0.0,0.0
vi,0.1794871794871795,0.07692307692307693,0.24358974358974358,0.02564102564102564,0.16666666666666666,0.0641025641025641,0.15384615384615385,0.05128205128205128,0.038461538461538464,0.0,0.0,0.0
IV,0.22727272727272727,0.16666666666666666,0.045454545454545456,0.030303030303030304,0.030303030303030304,0.0,0.4696969696969697,0.030303030303030304,0.0,0.0,0.0,0.0
i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625
VI,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25
II,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.05555555555555555,0.0,0.0,0.0
#VI,0.0,0.0,0.4117647058823529,0.0,0.058823529411764705,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0
ii,0.358974358974359,0.07692307692307693,0.1794871794871795,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.23076923076923078,0.0,0.0,0.0,0.0,0.0
iii,0.0625,0.25,0.3125,0.0,0.0625,0.0,0.125,0.0,0.125,0.0,0.0625,0.0
III,0.0,0.4666666666666667,0.0,0.0,0.06666666666666667,0.0,0.2,0.0,0.2,0.0,0.06666666666666667,0.0
