,IV,ii,I,vi,V,iii,II,III,VII,v,iv,VI,i
vi,0.3607843137254902,0.06274509803921569,0.20392156862745098,0.058823529411764705,0.14901960784313725,0.058823529411764705,0.07450980392156863,0.01568627450980392,0.00784313725490196,0.00784313725490196,0.0,0.0,0.0
IV,0.06870229007633588,0.04198473282442748,0.5687022900763359,0.08396946564885496,0.16793893129770993,0.030534351145038167,0.0,0.019083969465648856,0.0,0.0,0.011450381679389313,0.007633587786259542,0.0
i,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0,0.0,0.17647058823529413,0.0392156862745098,0.0392156862745098,0.45098039215686275,0.23529411764705882
VI,0.07407407407407407,0.05555555555555555,0.07407407407407407,0.0,0.018518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.2222222222222222,0.037037037037037035,0.09259259259259259,0.018518518518518517,0.35185185185185186
VII,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.125,0.08333333333333333,0.2916666666666667,0.16666666666666666,0.16666666666666666
I,0.19679633867276888,0.038901601830663615,0.16933638443935928,0.13729977116704806,0.3180778032036613,0.06407322654462243,0.02288329519450801,0.032036613272311214,0.002288329519450801,0.006864988558352402,0.002288329519450801,0.004576659038901602,0.004576659038901602
ii,0.16666666666666666,0.10714285714285714,0.15476190476190477,0.14285714285714285,0.35714285714285715,0.03571428571428571,0.0,0.023809523809523808,0.0,0.011904761904761904,0.0,0.0,0.0
V,0.1794871794871795,0.07264957264957266,0.32905982905982906,0.23076923076923078,0.08974358974358974,0.008547008547008548,0.05555555555555555,0.0,0.004273504273504274,0.0,0.0,0.021367521367521368,0.008547008547008548
III,0.17857142857142858,0.07142857142857142,0.03571428571428571,0.6071428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
iii,0.10204081632653061,0.061224489795918366,0.3673469387755102,0.20408163265306123,0.12244897959183673,0.061224489795918366,0.04081632653061224,0.0,0.0,0.0,0.0,0.04081632653061224,0.0
II,0.15217391304347827,0.0,0.13043478260869565,0.5,0.021739130434782608,0.043478260869565216,0.13043478260869565,0.021739130434782608,0.0,0.0,0.0,0.0,0.0
iv,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.47368421052631576,0.2631578947368421
v,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427,0.21428571428571427
