,VI,iv,#V,V,v,i,VII,IV,ii,iii,II,III,I,#i,vi,#VI,#II
i,0.39473684210526316,0.05263157894736842,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.2631578947368421,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,0.0,0.0784313725490196,0.0,0.0,0.09803921568627451,0.0392156862745098,0.29411764705882354,0.0,0.21568627450980393,0.0784313725490196,0.11764705882352941,0.0784313725490196,0.0,0.0,0.0,0.0,0.0
VII,0.03333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.3,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.3,0.13333333333333333,0.0,0.0,0.0
iv,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.3157894736842105,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0
v,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.26666666666666666,0.0
I,0.02195121951219512,0.0,0.00975609756097561,0.26097560975609757,0.0,0.004878048780487805,0.014634146341463415,0.25609756097560976,0.06341463414634146,0.03414634146341464,0.00975609756097561,0.012195121951219513,0.13902439024390245,0.0,0.15853658536585366,0.014634146341463415,0.0
ii,0.008064516129032258,0.024193548387096774,0.0,0.27419354838709675,0.0,0.0,0.0,0.1774193548387097,0.11290322580645161,0.0,0.0,0.016129032258064516,0.22580645161290322,0.0,0.14516129032258066,0.016129032258064516,0.0
IV,0.0,0.0031545741324921135,0.0,0.167192429022082,0.0,0.0,0.0,0.08201892744479496,0.050473186119873815,0.022082018927444796,0.0,0.012618296529968454,0.4794952681388013,0.0,0.17034700315457413,0.0,0.012618296529968454
iii,0.0,0.0,0.0,0.2708333333333333,0.0,0.0,0.125,0.2708333333333333,0.041666666666666664,0.0,0.0625,0.0,0.14583333333333334,0.0,0.08333333333333333,0.0,0.0
V,0.022727272727272728,0.0,0.003787878787878788,0.06439393939393939,0.0,0.0,0.003787878787878788,0.10984848484848485,0.10606060606060606,0.007575757575757576,0.06818181818181818,0.003787878787878788,0.38636363636363635,0.0,0.22348484848484848,0.0,0.0
vi,0.0,0.00423728813559322,0.0,0.18220338983050846,0.00847457627118644,0.0,0.0,0.423728813559322,0.1271186440677966,0.0635593220338983,0.012711864406779662,0.00847457627118644,0.13983050847457626,0.0,0.029661016949152543,0.0,0.0
III,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.16666666666666666,0.0,0.5,0.0,0.0
II,0.11764705882352941,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.08823529411764706,0.0,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.0,0.08823529411764706,0.0,0.0
#V,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.5
#II,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0
#VI,0.25,0.0,0.0625,0.0,0.0,0.25,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#i,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
