,VII,i,VI,V,iii,I,III,v,IV,vi,ii,II
i,0.3333333333333333,0.375,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.1,0.26666666666666666,0.13333333333333333,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0
VI,0.35294117647058826,0.23529411764705882,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.17647058823529413,0.0,0.0,0.0
IV,0.022598870056497175,0.0,0.0,0.2994350282485876,0.04519774011299435,0.3728813559322034,0.0,0.0,0.06779661016949153,0.1016949152542373,0.062146892655367235,0.02824858757062147
vi,0.0,0.0,0.0,0.18571428571428572,0.12857142857142856,0.12142857142857143,0.0,0.04285714285714286,0.37142857142857144,0.05,0.014285714285714285,0.08571428571428572
ii,0.057692307692307696,0.0,0.0,0.11538461538461539,0.09615384615384616,0.15384615384615385,0.0,0.0,0.40384615384615385,0.17307692307692307,0.0,0.0
I,0.06870229007633588,0.0,0.0,0.5954198473282443,0.04580152671755725,0.04580152671755725,0.0,0.0,0.1297709923664122,0.05343511450381679,0.04580152671755725,0.015267175572519083
iii,0.0,0.0,0.05063291139240506,0.17721518987341772,0.20253164556962025,0.02531645569620253,0.0,0.0,0.4050632911392405,0.13924050632911392,0.0,0.0
II,0.0,0.0,0.0,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.0,0.0,0.23529411764705882,0.0,0.0,0.23529411764705882
V,0.013245033112582781,0.013245033112582781,0.013245033112582781,0.013245033112582781,0.07947019867549669,0.12582781456953643,0.0,0.0,0.24503311258278146,0.37748344370860926,0.11920529801324503,0.0
v,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.47058823529411764,0.0,0.0
