,VI,VII,IV,i,III,vi,V,II,I,ii
i,0.4666666666666667,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
VI,0.18181818181818182,0.2727272727272727,0.022727272727272728,0.06818181818181818,0.25,0.022727272727272728,0.022727272727272728,0.1590909090909091,0.0,0.0
VII,0.27586206896551724,0.13793103448275862,0.06896551724137931,0.20689655172413793,0.2413793103448276,0.0,0.06896551724137931,0.0,0.0,0.0
I,0.0,0.0,0.21212121212121213,0.0,0.045454545454545456,0.09090909090909091,0.42424242424242425,0.0,0.21212121212121213,0.015151515151515152
IV,0.03773584905660377,0.0,0.05660377358490566,0.0,0.0,0.0,0.3018867924528302,0.0,0.5094339622641509,0.09433962264150944
ii,0.0,0.0,0.1875,0.0,0.0,0.4375,0.125,0.0,0.1875,0.0625
vi,0.06896551724137931,0.0,0.4827586206896552,0.0,0.06896551724137931,0.10344827586206896,0.13793103448275862,0.0,0.06896551724137931,0.06896551724137931
III,0.21739130434782608,0.2608695652173913,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.0,0.08695652173913043,0.043478260869565216,0.0,0.08695652173913043
V,0.06896551724137931,0.0,0.13793103448275862,0.034482758620689655,0.0,0.22413793103448276,0.1724137931034483,0.017241379310344827,0.29310344827586204,0.05172413793103448
II,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.06666666666666667,0.0
