,IV,V,I,ii,iii,v,vi,II,vii,iv,VI,III,VII,#VI,#I,#II,bVII,i,bIII,bII,bv,#iv
vi,0.39408602150537636,0.1736559139784946,0.21397849462365592,0.06774193548387097,0.05860215053763441,0.004838709677419355,0.03602150537634408,0.03064516129032258,0.001075268817204301,0.0005376344086021505,0.002150537634408602,0.007526881720430108,0.004301075268817204,0.004838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.054031236808780074,0.23723089911355003,0.4478682988602786,0.08780075981426762,0.008020261713803293,0.0029548332629801602,0.10721823554242296,0.004221190375685944,0.00042211903756859433,0.011819333051920641,0.005065428450823132,0.018573237653018153,0.0,0.007598142676234698,0.0033769523005487546,0.0029548332629801602,0.0008442380751371887,0.0,0.0,0.0,0.0,0.0
V,0.18016014234875444,0.08318505338078291,0.3145017793594306,0.06983985765124555,0.026245551601423486,0.0,0.2304270462633452,0.04359430604982206,0.0,0.00400355871886121,0.008896797153024912,0.007562277580071174,0.007562277580071174,0.003113879003558719,0.0,0.0,0.005782918149466192,0.015124555160142349,0.0,0.0,0.0,0.0
I,0.217417238294065,0.29525797793021175,0.11959439308082315,0.07933194154488518,0.04682373993438712,0.005964807634953773,0.14494482552937668,0.014613778705636743,0.0005964807634953773,0.001789442290486132,0.0056665672532060845,0.017894422904861318,0.0053683268714583956,0.028929317029525798,0.0005964807634953773,0.001789442290486132,0.006263048016701462,0.0029824038174768863,0.003578884580972264,0.0005964807634953773,0.0,0.0
i,0.007547169811320755,0.09433962264150944,0.033962264150943396,0.0,0.0,0.07547169811320754,0.0,0.0,0.018867924528301886,0.12830188679245283,0.2830188679245283,0.0,0.1509433962264151,0.0,0.0,0.0,0.0,0.20754716981132076,0.0,0.0,0.0,0.0
VI,0.0,0.07942238267148015,0.07942238267148015,0.1407942238267148,0.021660649819494584,0.018050541516245487,0.007220216606498195,0.010830324909747292,0.0,0.036101083032490974,0.010830324909747292,0.10108303249097472,0.259927797833935,0.0,0.0,0.0,0.0,0.16606498194945848,0.0,0.0,0.04693140794223827,0.021660649819494584
VII,0.0,0.01639344262295082,0.16393442622950818,0.0,0.09836065573770492,0.06557377049180328,0.0,0.0,0.01092896174863388,0.04918032786885246,0.19672131147540983,0.04371584699453552,0.09836065573770492,0.0,0.0,0.0,0.0,0.25136612021857924,0.0,0.0,0.0,0.00546448087431694
ii,0.14434060228452752,0.2814122533748702,0.2284527518172378,0.07165109034267912,0.017653167185877467,0.008307372793354102,0.122533748701973,0.0,0.0,0.0020768431983385254,0.012461059190031152,0.01973001038421599,0.0,0.056074766355140186,0.0,0.0,0.004153686396677051,0.0,0.021806853582554516,0.009345794392523364,0.0,0.0
#VI,0.48717948717948717,0.046153846153846156,0.3230769230769231,0.05128205128205128,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.27951807228915665,0.0746987951807229,0.23132530120481928,0.06746987951807229,0.04578313253012048,0.00963855421686747,0.14457831325301204,0.02891566265060241,0.0,0.0,0.021686746987951807,0.03132530120481928,0.04096385542168675,0.004819277108433735,0.0,0.0,0.0,0.00963855421686747,0.0,0.0,0.0,0.00963855421686747
vii,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.0,0.0
III,0.1148936170212766,0.01276595744680851,0.0425531914893617,0.03829787234042553,0.00425531914893617,0.0,0.49361702127659574,0.01702127659574468,0.0,0.0,0.13191489361702127,0.08936170212765958,0.01276595744680851,0.0,0.0,0.0,0.0,0.00851063829787234,0.0,0.0,0.03404255319148936,0.0
v,0.035398230088495575,0.017699115044247787,0.25663716814159293,0.1504424778761062,0.0,0.061946902654867256,0.035398230088495575,0.0,0.0,0.0,0.168141592920354,0.0,0.0,0.017699115044247787,0.0,0.10619469026548672,0.0,0.1504424778761062,0.0,0.0,0.0,0.0
II,0.1003584229390681,0.14695340501792115,0.0931899641577061,0.014336917562724014,0.0931899641577061,0.05017921146953405,0.25448028673835127,0.14336917562724014,0.0035842293906810036,0.0,0.025089605734767026,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#II,0.4230769230769231,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bv,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bVII,0.29545454545454547,0.0,0.4318181818181818,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,0.0,0.13043478260869565,0.29347826086956524,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.22826086956521738,0.010869565217391304,0.03260869565217391,0.0,0.0,0.0,0.0,0.29347826086956524,0.0,0.0,0.0,0.0
#I,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#iv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bIII,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.0,0.0
bII,0.0,0.0,0.46153846153846156,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0
