,iii,I,IV,v,V,ii,vi,III,II,#VI,iv,VII,VI,i,bIII
vi,0.04882154882154882,0.1447811447811448,0.31986531986531985,0.006734006734006734,0.33164983164983164,0.06228956228956229,0.03367003367003367,0.015151515151515152,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.043795620437956206,0.27007299270072993,0.2773722627737226,0.0072992700729927005,0.051094890510948905,0.1386861313868613,0.19708029197080293,0.0,0.0072992700729927005,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0
I,0.04666666666666667,0.058666666666666666,0.24666666666666667,0.0,0.352,0.06266666666666666,0.15066666666666667,0.058666666666666666,0.009333333333333334,0.0,0.004,0.005333333333333333,0.0013333333333333333,0.0026666666666666666,0.0013333333333333333
iv,0.06666666666666667,0.43333333333333335,0.06666666666666667,0.13333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
IV,0.030683403068340307,0.3821478382147838,0.05299860529986053,0.0,0.2859135285913529,0.040446304044630406,0.14783821478382148,0.019525801952580194,0.0041841004184100415,0.0,0.022315202231520222,0.0,0.01394700139470014,0.0,0.0
V,0.028901734104046242,0.29335260115606937,0.2384393063583815,0.0,0.05346820809248555,0.07947976878612717,0.25722543352601157,0.005780346820809248,0.015895953757225433,0.01300578034682081,0.0,0.001445086705202312,0.008670520231213872,0.004335260115606936,0.0
II,0.04,0.08,0.18,0.0,0.18,0.02,0.36,0.0,0.08,0.0,0.0,0.0,0.06,0.0,0.0
ii,0.0847457627118644,0.24152542372881355,0.2033898305084746,0.0,0.21610169491525424,0.03389830508474576,0.19915254237288135,0.00847457627118644,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.0,0.0,0.0,0.0
VI,0.06521739130434782,0.021739130434782608,0.0,0.0,0.08695652173913043,0.10869565217391304,0.0,0.0,0.043478260869565216,0.0,0.06521739130434782,0.2391304347826087,0.043478260869565216,0.32608695652173914,0.0
i,0.0,0.0,0.0,0.12903225806451613,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.5483870967741935,0.16129032258064516,0.03225806451612903,0.0
VII,0.09375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.125,0.3125,0.125,0.0
v,0.0,0.1724137931034483,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.3103448275862069,0.20689655172413793,0.0
III,0.0,0.06451612903225806,0.3064516129032258,0.0,0.016129032258064516,0.016129032258064516,0.5645161290322581,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#VI,0.0,0.18181818181818182,0.36363636363636365,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
