,bvii,I,V,IV,ii,iii,VI,vi,VII,III,iv,II,i,v,bVII,#II,bVI,bV,bvi,bII,bIII,bii,bv,vii,#VI,#V,#I,#iii,#vi,#IV,#VII,#ii,#III,#i,#iv,#v,#vii
IV,0.0031446540880503146,0.5136268343815513,0.17051013277428373,0.043675751222921035,0.038085255066387144,0.03039832285115304,0.007686932215234102,0.12928022361984626,0.004891684136967156,0.009084556254367574,0.011530398322851153,0.001397624039133473,0.026904262753319357,0.005241090146750524,0.0010482180293501049,0.0034940600978336828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bvii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.11290322580645161,0.0,0.04838709677419355,0.0,0.3709677419354839,0.3064516129032258,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bVI,0.10465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.05813953488372093,0.23255813953488372,0.0,0.3953488372093023,0.09302325581395349,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bII,0.0989010989010989,0.0,0.0,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.0,0.08791208791208792,0.02197802197802198,0.0,0.0,0.0,0.0,0.16483516483516483,0.13186813186813187,0.0,0.10989010989010989,0.21978021978021978,0.054945054945054944,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bV,0.3333333333333333,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,0.0,0.08,0.21333333333333335,0.0,0.10666666666666667,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vi,0.0,0.15504241281809614,0.2577756833176249,0.41564561734213007,0.034872761545711596,0.05230914231856739,0.001885014137606032,0.034872761545711596,0.00235626767200754,0.017907634307257305,0.003770028275212064,0.002827521206409048,0.0,0.000942507068803016,0.000942507068803016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003770028275212064,0.00235626767200754,0.001413760603204524,0.011310084825636193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.09823008849557523,0.3625368731563422,0.19882005899705016,0.05457227138643068,0.049557522123893805,0.0014749262536873156,0.1528023598820059,0.0014749262536873156,0.02654867256637168,0.0017699115044247787,0.027138643067846607,0.0,0.007079646017699115,0.0032448377581120944,0.0035398230088495575,0.0,0.0002949852507374631,0.0,0.0005899705014749262,0.0011799410029498525,0.0,0.0,0.0029498525073746312,0.0032448377581120944,0.0,0.0,0.0029498525073746312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.2602591792656587,0.06515478761699064,0.20734341252699784,0.05939524838012959,0.024478041756659467,0.016918646508279338,0.23722102231821454,0.004319654427645789,0.011519078473722102,0.0017998560115190785,0.06371490280777538,0.037437005039596835,0.0,0.0017998560115190785,0.0,0.0,0.0,0.0,0.0,0.003599712023038157,0.0,0.0,0.0025197984161267097,0.0,0.0014398848092152627,0.0,0.0,0.0003599712023038157,0.0007199424046076314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.0,0.11964285714285715,0.14107142857142857,0.16964285714285715,0.1,0.014285714285714285,0.026785714285714284,0.1875,0.007142857142857143,0.008928571428571428,0.0,0.1375,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030357142857142857,0.0,0.0,0.0017857142857142857,0.0,0.0,0.0,0.03214285714285714,0.008928571428571428,0.0,0.0,0.0,0.0,0.0
ii,0.0,0.14192708333333334,0.17057291666666666,0.28515625,0.06640625,0.05859375,0.0234375,0.18229166666666666,0.0234375,0.0013020833333333333,0.015625,0.0013020833333333333,0.0,0.020833333333333332,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#VII,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.2638888888888889,0.0,0.0,0.08333333333333333,0.4722222222222222,0.013888888888888888,0.0,0.0
iv,0.027491408934707903,0.10309278350515463,0.061855670103092786,0.024054982817869417,0.0,0.0,0.18900343642611683,0.024054982817869417,0.01718213058419244,0.08247422680412371,0.08934707903780069,0.0,0.24742268041237114,0.024054982817869417,0.013745704467353952,0.0,0.0,0.0,0.0,0.010309278350515464,0.048109965635738834,0.0,0.0,0.020618556701030927,0.0,0.0,0.010309278350515464,0.0,0.0,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,0.0,0.015228426395939087,0.12690355329949238,0.20304568527918782,0.050761421319796954,0.0,0.19289340101522842,0.0,0.05583756345177665,0.08121827411167512,0.0,0.0,0.20812182741116753,0.02030456852791878,0.02030456852791878,0.0,0.0,0.0,0.0,0.0,0.02030456852791878,0.0,0.0,0.0,0.0,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.0,0.0,0.028985507246376812,0.025120772946859903,0.0,0.0,0.32463768115942027,0.0,0.22705314009661837,0.21159420289855072,0.04251207729468599,0.005797101449275362,0.05990338164251208,0.034782608695652174,0.001932367149758454,0.0,0.007729468599033816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.007729468599033816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.001092896174863388,0.018579234972677595,0.0,0.0633879781420765,0.003278688524590164,0.014207650273224045,0.23387978142076501,0.00546448087431694,0.030601092896174863,0.15628415300546447,0.03715846994535519,0.0,0.3038251366120219,0.0273224043715847,0.0,0.0,0.0,0.015300546448087432,0.00546448087431694,0.00546448087431694,0.0,0.022950819672131147,0.0,0.0,0.0,0.0,0.002185792349726776,0.0,0.0,0.02622950819672131,0.0,0.0,0.0,0.017486338797814208,0.0,0.009836065573770493,0.0
VI,0.0,0.00980392156862745,0.10588235294117647,0.00392156862745098,0.012745098039215686,0.006862745098039216,0.0392156862745098,0.013725490196078431,0.20980392156862746,0.33725490196078434,0.047058823529411764,0.03137254901960784,0.11274509803921569,0.011764705882352941,0.00392156862745098,0.0,0.0,0.0029411764705882353,0.0,0.0,0.0,0.0,0.010784313725490196,0.03137254901960784,0.008823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.015350877192982455,0.21271929824561403,0.046052631578947366,0.07456140350877193,0.017543859649122806,0.16885964912280702,0.1513157894736842,0.05482456140350877,0.0043859649122807015,0.019736842105263157,0.0,0.05921052631578947,0.0021929824561403508,0.019736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03289473684210526,0.02631578947368421,0.017543859649122806,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019736842105263157,0.0,0.04824561403508772
III,0.0,0.0078125,0.044921875,0.0771484375,0.029296875,0.0,0.0966796875,0.0830078125,0.3232421875,0.037109375,0.044921875,0.0078125,0.1259765625,0.05859375,0.0,0.0,0.005859375,0.0009765625,0.0087890625,0.00390625,0.0,0.0126953125,0.001953125,0.0087890625,0.0,0.0,0.0126953125,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#VI,0.0,0.043478260869565216,0.06521739130434782,0.11956521739130435,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07608695652173914,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.3532608695652174,0.016304347826086956,0.0,0.0,0.0
bVII,0.0,0.17391304347826086,0.028985507246376812,0.30434782608695654,0.2028985507246377,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.08695652173913043,0.014492753623188406,0.07246376811594203,0.0,0.0,0.0,0.0,0.014492753623188406,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
