,ii,iii,IV,I,V,III,VI,vi,v,II,VII,#VI,i
vi,0.06493506493506493,0.03896103896103896,0.3116883116883117,0.3246753246753247,0.24675324675324675,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii,0.08888888888888889,0.044444444444444446,0.2222222222222222,0.13333333333333333,0.2,0.022222222222222223,0.022222222222222223,0.2,0.06666666666666667,0.0,0.0,0.0,0.0
I,0.07058823529411765,0.03529411764705882,0.1411764705882353,0.18823529411764706,0.3352941176470588,0.03529411764705882,0.0,0.13529411764705881,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0
iii,0.1,0.0,0.3,0.15,0.25,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0
IV,0.05263157894736842,0.07368421052631578,0.031578947368421054,0.4631578947368421,0.18947368421052632,0.031578947368421054,0.010526315789473684,0.05263157894736842,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.031578947368421054
V,0.15454545454545454,0.00909090909090909,0.16363636363636364,0.21818181818181817,0.06363636363636363,0.0,0.0,0.21818181818181817,0.0,0.17272727272727273,0.0,0.0,0.0
VI,0.0,0.0,0.0,0.0,0.05405405405405406,0.6216216216216216,0.05405405405405406,0.0,0.0,0.0,0.24324324324324326,0.0,0.02702702702702703
i,0.0,0.0,0.0392156862745098,0.0,0.0,0.1568627450980392,0.43137254901960786,0.0,0.09803921568627451,0.0,0.2549019607843137,0.0,0.0196078431372549
VII,0.0,0.0,0.22727272727272727,0.0,0.0,0.045454545454545456,0.06818181818181818,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.5909090909090909
III,0.0196078431372549,0.0,0.11764705882352941,0.0,0.0392156862745098,0.1568627450980392,0.058823529411764705,0.0196078431372549,0.0784313725490196,0.0,0.49019607843137253,0.0,0.0196078431372549
v,0.0,0.0,0.058823529411764705,0.0,0.0,0.23529411764705882,0.17647058823529413,0.0,0.0,0.0,0.29411764705882354,0.0,0.23529411764705882
#VI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.0,0.08333333333333333,0.0,0.25,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.25,0.0
