,IV,V,I,III,vi,iii,II,ii,iv,i,VI,VII
I,0.10784313725490197,0.23529411764705882,0.23529411764705882,0.09803921568627451,0.21568627450980393,0.029411764705882353,0.049019607843137254,0.029411764705882353,0.0,0.0,0.0,0.0
IV,0.09836065573770492,0.13114754098360656,0.47540983606557374,0.0,0.11475409836065574,0.0,0.0,0.03278688524590164,0.09836065573770492,0.04918032786885246,0.0,0.0
V,0.3333333333333333,0.0,0.08888888888888889,0.0,0.15555555555555556,0.022222222222222223,0.28888888888888886,0.06666666666666667,0.0,0.0,0.044444444444444446,0.0
vi,0.1836734693877551,0.2857142857142857,0.2653061224489796,0.061224489795918366,0.1836734693877551,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0
iv,0.25,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333
III,0.20588235294117646,0.029411764705882353,0.08823529411764706,0.0,0.058823529411764705,0.0,0.0,0.0,0.14705882352941177,0.029411764705882353,0.11764705882352941,0.3235294117647059
ii,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
iii,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0
II,0.0,0.11764705882352941,0.058823529411764705,0.0,0.35294117647058826,0.29411764705882354,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0
i,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.10344827586206896,0.10344827586206896,0.3103448275862069
VI,0.0,0.2,0.0,0.2,0.0,0.0,0.1,0.0,0.05,0.25,0.1,0.1
VII,0.21052631578947367,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.10526315789473684,0.0,0.3684210526315789,0.2631578947368421,0.0
