,IV,I,ii,iii,vi,V,VI,III,v,II,VII,iv,i
vi,0.2976190476190476,0.1761904761904762,0.02857142857142857,0.08571428571428572,0.06904761904761905,0.29523809523809524,0.004761904761904762,0.01904761904761905,0.004761904761904762,0.016666666666666666,0.002380952380952381,0.0,0.0
IV,0.05263157894736842,0.49373433583959897,0.05513784461152882,0.020050125313283207,0.16791979949874686,0.18796992481203006,0.0,0.0,0.0,0.010025062656641603,0.0,0.012531328320802004,0.0
I,0.17293233082706766,0.10526315789473684,0.03383458646616541,0.043233082706766915,0.21428571428571427,0.36466165413533835,0.007518796992481203,0.02819548872180451,0.0,0.015037593984962405,0.007518796992481203,0.007518796992481203,0.0
V,0.27790973871733965,0.2850356294536817,0.05938242280285035,0.023752969121140142,0.25653206650831356,0.047505938242280284,0.007125890736342043,0.0,0.0023752969121140144,0.021377672209026127,0.009501187648456057,0.0023752969121140144,0.007125890736342043
iii,0.18181818181818182,0.30303030303030304,0.09090909090909091,0.08080808080808081,0.20202020202020202,0.12121212121212122,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.0
ii,0.10679611650485436,0.23300970873786409,0.06796116504854369,0.0970873786407767,0.24271844660194175,0.17475728155339806,0.04854368932038835,0.009708737864077669,0.0,0.0,0.0,0.019417475728155338,0.0
VI,0.05555555555555555,0.09259259259259259,0.0,0.07407407407407407,0.0,0.07407407407407407,0.018518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.42592592592592593,0.018518518518518517,0.18518518518518517
i,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.15789473684210525,0.0,0.47368421052631576,0.02631578947368421,0.07894736842105263
VII,0.0,0.08,0.0,0.06,0.0,0.0,0.34,0.0,0.08,0.02,0.08,0.02,0.32
III,0.18181818181818182,0.13636363636363635,0.0,0.0,0.6818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,0.21052631578947367,0.3157894736842105,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684
II,0.06896551724137931,0.06896551724137931,0.0,0.0,0.4827586206896552,0.2413793103448276,0.06896551724137931,0.0,0.06896551724137931,0.0,0.0,0.0,0.0
v,0.0,0.2608695652173913,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.0,0.13043478260869565,0.0,0.0,0.043478260869565216,0.21739130434782608
