,ii,vi,V,IV,I,iii,VII,vii,v,II,iv,III,VI,i,bII
vi,0.04824561403508772,0.04824561403508772,0.3026315789473684,0.2741228070175439,0.1513157894736842,0.06798245614035088,0.013157894736842105,0.03508771929824561,0.008771929824561403,0.03508771929824561,0.013157894736842105,0.0021929824561403508,0.0,0.0,0.0
ii,0.0440251572327044,0.22641509433962265,0.1761006289308176,0.25157232704402516,0.22641509433962265,0.050314465408805034,0.0,0.0,0.0,0.012578616352201259,0.0,0.012578616352201259,0.0,0.0,0.0
I,0.05588822355289421,0.16966067864271456,0.4750499001996008,0.12574850299401197,0.041916167664670656,0.021956087824351298,0.011976047904191617,0.023952095808383235,0.003992015968063872,0.003992015968063872,0.001996007984031936,0.059880239520958084,0.003992015968063872,0.0,0.0
IV,0.04697986577181208,0.14988814317673377,0.27740492170022374,0.049217002237136466,0.4451901565995526,0.017897091722595078,0.0,0.0,0.0,0.0044742729306487695,0.008948545861297539,0.0,0.0,0.0,0.0
V,0.08249496981891348,0.34004024144869216,0.08853118712273642,0.21327967806841047,0.18712273641851107,0.04024144869215292,0.0,0.0,0.0,0.03621730382293763,0.0,0.0,0.002012072434607646,0.006036217303822937,0.004024144869215292
VI,0.07936507936507936,0.0,0.047619047619047616,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.09523809523809523,0.0,0.015873015873015872,0.38095238095238093,0.0
i,0.0,0.0,0.0,0.0,0.0,0.0,0.4262295081967213,0.0,0.13114754098360656,0.0,0.13114754098360656,0.0,0.3114754098360656,0.0,0.0
VII,0.03636363636363636,0.0,0.0,0.0,0.03636363636363636,0.12727272727272726,0.01818181818181818,0.0,0.10909090909090909,0.0,0.23636363636363636,0.0,0.14545454545454545,0.2909090909090909,0.0
III,0.0,0.42857142857142855,0.0,0.21428571428571427,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.019417475728155338,0.05825242718446602,0.1650485436893204,0.33980582524271846,0.2621359223300971,0.0970873786407767,0.019417475728155338,0.0,0.0,0.0,0.0,0.019417475728155338,0.019417475728155338,0.0,0.0
II,0.0,0.16666666666666666,0.3611111111111111,0.027777777777777776,0.05555555555555555,0.19444444444444445,0.0,0.0,0.16666666666666666,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
v,0.14814814814814814,0.0,0.0,0.0,0.37037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.37037037037037035,0.07407407407407407,0.0
iv,0.0,0.0,0.0,0.0,0.19444444444444445,0.0,0.05555555555555555,0.0,0.0,0.0,0.08333333333333333,0.0,0.4444444444444444,0.2222222222222222,0.0
vii,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
