,ii,vi,I,IV,#VI,iii,V,III,VI,i,II,iv,v,VII,bVII
I,0.0516545601291364,0.17245090126446058,0.09496906107075599,0.2206080172181867,0.0010761366693570083,0.05273069679849341,0.33602367500672586,0.030131826741996232,0.009685230024213076,0.0018832391713747645,0.01560398170567662,0.005111649179445789,0.004304546677428033,0.003766478342749529,0.0
ii,0.039473684210526314,0.24401913875598086,0.19736842105263158,0.19497607655502391,0.004784688995215311,0.04425837320574163,0.2117224880382775,0.028708133971291867,0.025119617224880382,0.0,0.0,0.009569377990430622,0.0,0.0,0.0
V,0.06362545018007203,0.25970388155262103,0.3085234093637455,0.24089635854341737,0.00040016006402561027,0.031612645058023206,0.06682673069227692,0.006002400960384154,0.0028011204481792717,0.006802721088435374,0.010004001600640256,0.0008003201280512205,0.0008003201280512205,0.0012004801920768306,0.0
vi,0.05691699604743083,0.06798418972332015,0.21739130434782608,0.31699604743083004,0.0,0.059683794466403164,0.2316205533596838,0.02727272727272727,0.004347826086956522,0.0007905138339920949,0.007509881422924901,0.001976284584980237,0.0003952569169960474,0.003952569169960474,0.0031620553359683794
IV,0.06562266964951528,0.1621923937360179,0.49850857568978374,0.05779269202087994,0.0,0.017897091722595078,0.17710663683818045,0.010439970171513796,0.0007457121551081282,0.0,0.0,0.002609992542878449,0.0,0.0011185682326621924,0.005965697240865026
#VI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iii,0.08813559322033898,0.15423728813559323,0.3101694915254237,0.2440677966101695,0.0,0.059322033898305086,0.08813559322033898,0.015254237288135594,0.00847457627118644,0.0,0.01694915254237288,0.0,0.011864406779661017,0.003389830508474576,0.0
i,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0851063829787234,0.07234042553191489,0.01276595744680851,0.17446808510638298,0.03829787234042553,0.5957446808510638,0.0
iv,0.014598540145985401,0.051094890510948905,0.23357664233576642,0.0,0.0,0.0,0.058394160583941604,0.0,0.10218978102189781,0.10948905109489052,0.0,0.043795620437956206,0.21897810218978103,0.1678832116788321,0.0
v,0.05555555555555555,0.0,0.2619047619047619,0.0,0.0,0.007936507936507936,0.0,0.0,0.2698412698412698,0.2857142857142857,0.0,0.03968253968253968,0.07936507936507936,0.0,0.0
VI,0.07042253521126761,0.0,0.11737089201877934,0.03755868544600939,0.07511737089201878,0.03755868544600939,0.09859154929577464,0.009389671361502348,0.0,0.28169014084507044,0.028169014084507043,0.018779342723004695,0.028169014084507043,0.19718309859154928,0.0
VII,0.0,0.0045045045045045045,0.013513513513513514,0.0,0.0,0.0945945945945946,0.0,0.0,0.22972972972972974,0.33783783783783783,0.0,0.13513513513513514,0.14414414414414414,0.04054054054054054,0.0
III,0.05042016806722689,0.6134453781512605,0.07142857142857142,0.15966386554621848,0.0,0.004201680672268907,0.008403361344537815,0.06302521008403361,0.0,0.0,0.012605042016806723,0.01680672268907563,0.0,0.0,0.0
II,0.07692307692307693,0.1794871794871795,0.23076923076923078,0.1111111111111111,0.0,0.1794871794871795,0.09401709401709402,0.0,0.017094017094017096,0.0,0.042735042735042736,0.0,0.05982905982905983,0.0,0.008547008547008548
bVII,0.10714285714285714,0.0,0.03571428571428571,0.25,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
