,intro,verse,chorus,interlude,solo,bridge,instrumental,EndOfSong,outro,link,coda,pre-chorus,ending,break,refrain
StartOfSong,0.7054263565891473,0.25064599483204136,0.03617571059431524,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.0071174377224199285,0.9145907473309609,0.0498220640569395,0.0071174377224199285,0.0035587188612099642,0.0,0.0035587188612099642,0.014234875444839857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chorus,0.0,0.37973273942093544,0.043429844097995544,0.05790645879732739,0.0467706013363029,0.08685968819599109,0.0801781737193764,0.16146993318485522,0.10022271714922049,0.012249443207126948,0.008908685968819599,0.005567928730512249,0.0033407572383073497,0.013363028953229399,0.0
interlude,0.0,0.6024096385542169,0.14457831325301204,0.012048192771084338,0.024096385542168676,0.08433734939759036,0.024096385542168676,0.012048192771084338,0.07228915662650602,0.0,0.0,0.012048192771084338,0.0,0.012048192771084338,0.0
verse,0.0,0.12452471482889733,0.6112167300380228,0.02091254752851711,0.015209125475285171,0.045627376425855515,0.02376425855513308,0.03612167300380228,0.026615969581749048,0.0,0.0009505703422053232,0.0779467680608365,0.0019011406844106464,0.004752851711026616,0.010456273764258554
instrumental,0.008695652173913044,0.6347826086956522,0.16521739130434782,0.017391304347826087,0.02608695652173913,0.06956521739130435,0.008695652173913044,0.017391304347826087,0.02608695652173913,0.0,0.0,0.017391304347826087,0.008695652173913044,0.0,0.0
outro,0.006369426751592357,0.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.9426751592356688,0.01910828025477707,0.0,0.006369426751592357,0.0,0.01910828025477707,0.0,0.0
solo,0.0,0.38461538461538464,0.20512820512820512,0.0,0.02564102564102564,0.1282051282051282,0.0,0.08974358974358974,0.07692307692307693,0.0,0.0,0.0641025641025641,0.02564102564102564,0.0,0.0
pre-chorus,0.0,0.021052631578947368,0.9368421052631579,0.0,0.0,0.0,0.0,0.021052631578947368,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0
bridge,0.0,0.30625,0.39375,0.0125,0.05,0.0,0.075,0.0625,0.06875,0.0,0.0,0.00625,0.00625,0.0125,0.00625
link,0.0,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coda,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
refrain,0.0,0.5,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
ending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
break,0.0,0.3684210526315789,0.15789473684210525,0.0,0.15789473684210525,0.21052631578947367,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
