,verse,intro,chorus,interlude,refrain,outro,pre-chorus,EndOfSong,solo,bridge,instrumental,break,ending,post-chorus
StartOfSong,0.29581151832460734,0.6701570680628273,0.028795811518324606,0.002617801047120419,0.002617801047120419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.09949748743718594,0.0010050251256281408,0.6170854271356784,0.027135678391959798,0.02613065326633166,0.023115577889447236,0.09346733668341708,0.02914572864321608,0.006030150753768844,0.053266331658291456,0.017085427135678392,0.005025125628140704,0.0010050251256281408,0.0010050251256281408
chorus,0.3463687150837989,0.0011173184357541898,0.0446927374301676,0.03910614525139665,0.0,0.12737430167597766,0.004469273743016759,0.1553072625698324,0.054748603351955305,0.11843575418994413,0.08379888268156424,0.00558659217877095,0.0067039106145251395,0.012290502793296089
outro,0.0,0.005813953488372093,0.0,0.005813953488372093,0.0,0.005813953488372093,0.0,0.9418604651162791,0.011627906976744186,0.0,0.011627906976744186,0.0,0.01744186046511628,0.0
intro,0.929368029739777,0.0037174721189591076,0.022304832713754646,0.0,0.011152416356877323,0.0,0.0,0.01858736059479554,0.0,0.0,0.011152416356877323,0.0,0.0037174721189591076,0.0
pre-chorus,0.026785714285714284,0.0,0.9196428571428571,0.0,0.017857142857142856,0.017857142857142856,0.0,0.0,0.008928571428571428,0.008928571428571428,0.0,0.0,0.0,0.0
interlude,0.589041095890411,0.0,0.1506849315068493,0.0,0.0136986301369863,0.0684931506849315,0.0684931506849315,0.0273972602739726,0.0410958904109589,0.0410958904109589,0.0,0.0,0.0,0.0
instrumental,0.5327102803738317,0.0,0.21495327102803738,0.0,0.009345794392523364,0.056074766355140186,0.0,0.056074766355140186,0.018691588785046728,0.11214953271028037,0.0,0.0,0.0,0.0
bridge,0.29347826086956524,0.0,0.3967391304347826,0.03804347826086957,0.005434782608695652,0.059782608695652176,0.016304347826086956,0.03260869565217391,0.09239130434782608,0.016304347826086956,0.03804347826086957,0.005434782608695652,0.0,0.005434782608695652
solo,0.3717948717948718,0.0,0.28205128205128205,0.02564102564102564,0.01282051282051282,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.1282051282051282,0.0,0.02564102564102564,0.0,0.0
refrain,0.4473684210526316,0.0,0.05263157894736842,0.0,0.05263157894736842,0.10526315789473684,0.02631578947368421,0.18421052631578946,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0
post-chorus,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
break,0.6428571428571429,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0
ending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
