,total_num_sections,num_unique_sections,Song
0,9,3,eminem_stan
1,7,5,3-doors-down_here-without-you
2,13,8,3-doors-down_kryptonite
3,8,5,a-day-to-remember_if-it-means-a-lot-to-you
4,6,3,all-time-low_dear-maria-count-me-in
5,6,4,all-time-low_remembering-sunday
6,8,5,alter-bridge_watch-over-you
7,9,5,amy-macdonald_this-is-the-life
8,8,4,anna-nalick_breathe-2-am
9,10,7,arctic-monkeys_505
10,6,4,arctic-monkeys_baby-im-yours
11,10,6,arctic-monkeys_cornerstone
12,9,6,arctic-monkeys_fluorescent-adolescent
13,8,5,arctic-monkeys_mardy-bum
14,8,6,arctic-monkeys_no-buses
15,6,4,arctic-monkeys_only-ones-who-know
16,9,6,arctic-monkeys_when-the-sun-goes-down
17,9,6,audioslave_i-am-the-highway
18,11,6,avril-lavigne_complicated
19,10,6,avril-lavigne_im-with-you
20,8,5,avril-lavigne_sk8er-boi
21,11,7,avril-lavigne_when-youre-gone
22,5,3,band-of-horses_the-funeral
23,8,6,blink-182_i-miss-you
24,8,4,bon-jovi_its-my-life
25,5,3,brandi-carlile_the-story
26,10,4,cage-the-elephant_aint-no-rest-for-the-wicked
27,8,5,casting-crowns_praise-you-in-this-storm
28,6,4,casting-crowns_who-am-i
29,11,6,chris-cornell_you-know-my-name
30,9,5,coldplay_clocks
31,7,4,coldplay_fix-you
32,4,2,coldplay_green-eyes
33,8,6,coldplay_in-my-place
34,3,3,coldplay_sparks
35,6,4,coldplay_the-scientist
36,10,6,coldplay_trouble
37,11,5,coldplay_viva-la-vida
38,9,6,coldplay_yellow
39,8,4,counting-crows_accidentally-in-love
40,10,7,creed_one-last-breath
41,7,6,daniel-powter_bad-day
42,7,4,david-crowderband_how-he-loves
43,7,3,death-cab-for-cutie_i-will-follow-you-into-the-dark
44,17,4,edward-sharpe-and-the-magnetic-zeros_home
45,7,3,element-of-crime_ein-hotdog-unten-am-hafen
46,6,2,elvis-presley_oh-happy-day
47,7,4,empire-of-the-sun_we-are-the-people
48,13,8,evanescence_my-immortal
49,11,6,fall-out-boy_sugar-were-going-down
50,11,5,five-for-fighting_superman-its-not-easy
51,9,3,florence-the-machine_dog-days-are-over
52,6,3,florence-the-machine_youve-got-the-love
53,7,4,foo-fighters_best-of-you
54,8,5,foo-fighters_the-pretender
55,8,5,fountains-of-wayne_stacys-mom
56,6,4,franz-ferdinand_take-me-out
57,7,5,fuel_hemorrhage-in-my-hands
58,5,3,gary-jules_mad-world
59,10,6,green-day_21-guns
60,11,6,green-day_american-idiot
61,17,6,green-day_boulevard-of-broken-dreams
62,11,8,green-day_holiday
63,30,12,green-day_jesus-of-suburbia
64,7,4,green-day_last-night-on-earth
65,5,2,green-day_wake-me-up-when-september-ends
66,9,6,hillsong-united_hosanna
67,7,6,hillsong-united_lead-me-to-the-cross
68,8,4,hoobastank_the-reason
69,6,4,ingrid-michaelson_you-and-i
70,7,4,james-blunt_1973
71,12,7,jason-mraz_im-yours
72,11,6,jason-mraz_lucky
73,6,4,jet_are-you-gonna-be-my-girl
74,7,3,jimmy-eat-world_the-middle
75,11,7,john-mayer_daughters
76,7,3,john-mayer_free-fallin
77,9,5,john-mayer_gravity
78,11,6,john-mayer_stop-this-train
79,10,7,jonas-brothers_lovebug
80,9,6,keane_everybodys-changing
81,10,5,keane_somewhere-only-we-know
82,8,5,kelly-clarkson_since-u-been-gone
83,11,6,kid-rock_all-summer-long
84,8,3,kid-rock_picture
85,7,3,kings-of-leon_sex-on-fire
86,7,4,kings-of-leon_use-somebody
87,9,6,lifehouse_you-and-me
88,9,4,limp-bizkit_behind-blue-eyes
89,7,3,linkin-park_crawling
90,6,2,linkin-park_in-the-end
91,9,5,linkin-park_leave-out-all-the-rest
92,8,5,linkin-park_numb
93,9,6,linkin-park_what-ive-done
94,9,6,maroon-5_she-will-be-loved
95,9,6,maroon-5_sunday-morning
96,9,5,maroon-5_this-love
97,10,6,matchbox-twenty_unwell
98,5,4,mcfly_all-about-you
99,8,5,mgmt_kids
100,7,3,michael-w-smith_above-all
101,4,2,michael-w-smith_awesome-god
102,4,3,michael-w-smith_draw-me-close
103,12,7,mika_grace-kelly
104,9,6,modest-mouse_float-on
105,10,6,mother-mother_burning-pile
106,10,6,muse_hysteria
107,9,5,muse_starlight
108,12,5,muse_time-is-running-out
109,7,4,my-chemical-romance_helena
110,7,4,my-chemical-romance_i-dont-love-you
111,7,3,my-chemical-romance_im-not-okay-i-promise
112,5,3,my-chemical-romance_teenagers
113,10,5,my-chemical-romance_welcome-to-the-black-parade
114,21,4,nick-cave-the-bad-seeds_o-children
115,8,6,nickelback_how-you-remind-me
116,8,4,nickelback_rockstar
117,10,6,oasis_little-by-little
118,7,5,oasis_songbird
119,9,6,oasis_stop-crying-your-heart-out
120,9,6,onerepublic_apologize
121,8,5,onerepublic_secrets
122,8,5,panic-at-the-disco_i-write-sins-not-tragedies
123,8,4,paolo-nutini_last-request
124,11,7,paramore_decode
125,10,6,paramore_misery-business
126,9,5,paramore_the-only-exception
127,7,3,parokya-ni-edgar_your-song
128,8,4,pearl-jam_just-breathe
129,8,4,plain-white-ts_hey-there-delilah
130,9,5,radiohead_how-to-disappear-completely
131,5,4,radiohead_nude
132,6,3,red-hot-chili-peppers_by-the-way
133,6,3,red-hot-chili-peppers_cant-stop
134,11,6,red-hot-chili-peppers_dani-california
135,12,6,red-hot-chili-peppers_snow-hey-oh
136,8,5,red-hot-chili-peppers_the-zephyr-song
137,12,5,rise-against_hero-of-war
138,8,3,robbie-williams_feel
139,6,3,secondhand-serenade_fall-for-you
140,8,5,seether_broken
141,8,4,simple-plan_welcome-to-my-life
142,10,3,snow-patrol_chasing-cars
143,6,3,snow-patrol_run
144,8,4,staind_its-been-awhile
145,8,4,staind_outside
146,5,3,steve-earle_the-galway-girl
147,9,5,stone-sour_through-glass
148,6,3,sunrise-avenue_fairytale-gone-bad
149,8,6,system-of-a-down_lonely-day
150,3,2,tally-hall_hidden-in-the-sand
151,12,6,taylor-swift_breathe
152,10,7,taylor-swift_fearless
153,11,6,taylor-swift_fifteen
154,8,4,taylor-swift_forever-and-always
155,8,5,taylor-swift_love-story
156,7,4,taylor-swift_the-way-i-loved-you
157,8,5,taylor-swift_white-horse
158,9,5,taylor-swift_you-belong-with-me
159,3,2,tenacious-d_kickapoo
160,4,3,the-calling_wherever-you-will-go
161,8,5,the-fratellis_whistle-for-the-choir
162,11,6,the-fray_how-to-save-a-life
163,6,3,the-fray_look-after-you
164,9,4,the-fray_over-my-head-cable-car
165,8,5,the-fray_you-found-me
166,8,6,the-killers_all-these-things-that-ive-done
167,13,7,the-killers_human
168,10,6,the-killers_mr-brightside
169,9,5,the-killers_read-my-mind
170,6,4,the-killers_somebody-told-me
171,13,6,the-killers_when-you-were-young
172,8,4,the-kooks_naive
173,4,3,the-kooks_seaside
174,9,3,the-kooks_she-moves-in-her-own-way
175,13,4,the-moldy-peaches_anyone-else-but-you
