,chorus,intro,verse,pre-chorus,bridge,interlude,solo,outro,EndOfSong,instrumental,post-chorus,hook,refrain
StartOfSong,0.014705882352941176,0.6887254901960784,0.29411764705882354,0.0024509803921568627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chorus,0.022682445759368838,0.0,0.34418145956607493,0.0039447731755424065,0.14891518737672585,0.055226824457593686,0.03451676528599606,0.13214990138067062,0.14497041420118342,0.10059171597633136,0.010848126232741617,0.0009861932938856016,0.0009861932938856016
verse,0.6429924242424242,0.0,0.10416666666666667,0.11079545454545454,0.035037878787878785,0.017045454545454544,0.006628787878787879,0.014204545454545454,0.026515151515151516,0.027462121212121212,0.0,0.008522727272727272,0.006628787878787879
intro,0.06597222222222222,0.0,0.9166666666666666,0.006944444444444444,0.0,0.0,0.0,0.0,0.003472222222222222,0.003472222222222222,0.0,0.0,0.003472222222222222
bridge,0.4909090909090909,0.004545454545454545,0.19545454545454546,0.022727272727272728,0.00909090909090909,0.031818181818181815,0.045454545454545456,0.09545454545454546,0.05454545454545454,0.045454545454545456,0.0,0.004545454545454545,0.0
interlude,0.26136363636363635,0.0,0.48863636363636365,0.0,0.09090909090909091,0.0,0.03409090909090909,0.06818181818181818,0.03409090909090909,0.022727272727272728,0.0,0.0,0.0
solo,0.38181818181818183,0.0,0.2545454545454545,0.01818181818181818,0.12727272727272726,0.01818181818181818,0.0,0.09090909090909091,0.09090909090909091,0.01818181818181818,0.0,0.0,0.0
pre-chorus,0.9083969465648855,0.0,0.04580152671755725,0.0,0.0,0.007633587786259542,0.0,0.0,0.007633587786259542,0.007633587786259542,0.0,0.007633587786259542,0.015267175572519083
outro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.9897435897435898,0.0,0.0,0.0,0.0
instrumental,0.22916666666666666,0.0,0.5208333333333334,0.006944444444444444,0.1388888888888889,0.013888888888888888,0.006944444444444444,0.06944444444444445,0.0,0.006944444444444444,0.0,0.0,0.006944444444444444
post-chorus,0.2,0.0,0.3,0.0,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0
hook,0.0,0.0,0.6153846153846154,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0
refrain,0.6363636363636364,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
