,verse,intro,solo,chorus,instrumental,refrain,bridge,pre-chorus,outro,interlude,break,EndOfSong,ending,post-chorus
StartOfSong,0.269449715370019,0.7020872865275142,0.0018975332068311196,0.022770398481973434,0.0018975332068311196,0.0018975332068311196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.0567139282735613,0.0,0.0025020850708924102,0.5604670558798999,0.0158465387823186,0.011676396997497914,0.03586321934945788,0.2819015846538782,0.004170141784820684,0.012510425354462052,0.004170141784820684,0.013344453711426188,0.0008340283569641367,0.0
chorus,0.3477941176470588,0.0014705882352941176,0.011029411764705883,0.022794117647058822,0.06985294117647059,0.0058823529411764705,0.16470588235294117,0.011764705882352941,0.1426470588235294,0.045588235294117645,0.0058823529411764705,0.14558823529411766,0.0029411764705882353,0.022058823529411766
outro,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0076045627376425855,0.0,0.0,0.9771863117870723,0.011406844106463879,0.0
bridge,0.07210031347962383,0.0,0.01567398119122257,0.6551724137931034,0.03761755485893417,0.003134796238244514,0.006269592476489028,0.047021943573667714,0.09090909090909091,0.012539184952978056,0.0,0.050156739811912224,0.009404388714733543,0.0
intro,0.9173333333333333,0.008,0.0,0.06133333333333333,0.0,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0026666666666666666,0.0,0.0,0.0026666666666666666,0.0,0.0
pre-chorus,0.01837270341207349,0.0,0.0,0.94750656167979,0.005249343832020997,0.007874015748031496,0.013123359580052493,0.0,0.0,0.0026246719160104987,0.0,0.005249343832020997,0.0,0.0
instrumental,0.4961832061068702,0.0,0.0,0.17557251908396945,0.0,0.0,0.17557251908396945,0.030534351145038167,0.07633587786259542,0.0,0.007633587786259542,0.03816793893129771,0.0,0.0
solo,0.2962962962962963,0.0,0.037037037037037035,0.3333333333333333,0.0,0.0,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.0,0.07407407407407407,0.07407407407407407,0.0,0.0
interlude,0.43529411764705883,0.0,0.0,0.23529411764705882,0.0,0.0,0.2,0.011764705882352941,0.08235294117647059,0.0,0.0,0.03529411764705882,0.0,0.0
refrain,0.16666666666666666,0.0,0.0,0.26666666666666666,0.1,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.1,0.0,0.0
break,0.625,0.0,0.125,0.1875,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
post-chorus,0.3448275862068966,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.1724137931034483,0.0,0.2413793103448276,0.06896551724137931,0.0,0.10344827586206896,0.0,0.0
ending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
