,verse,intro,chorus,pre-chorus,bridge,EndOfSong,instrumental,outro,interlude,solo,break,hook,post-chorus
StartOfSong,0.2972972972972973,0.6756756756756757,0.02457002457002457,0.002457002457002457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.0782122905027933,0.0,0.6508379888268156,0.12849162011173185,0.04655493482309125,0.0223463687150838,0.0223463687150838,0.010242085661080074,0.024208566108007448,0.006517690875232775,0.00186219739292365,0.008379888268156424,0.0
chorus,0.3506616257088847,0.000945179584120983,0.027410207939508508,0.008506616257088847,0.12948960302457466,0.13988657844990549,0.09262759924385633,0.13516068052930058,0.052930056710775046,0.038752362948960305,0.008506616257088847,0.0,0.015122873345935728
intro,0.9305555555555556,0.003472222222222222,0.04861111111111111,0.0,0.0,0.006944444444444444,0.006944444444444444,0.0,0.0,0.0,0.0,0.003472222222222222,0.0
bridge,0.20093457943925233,0.004672897196261682,0.46261682242990654,0.02336448598130841,0.0,0.06074766355140187,0.03271028037383177,0.10747663551401869,0.04672897196261682,0.037383177570093455,0.014018691588785047,0.004672897196261682,0.004672897196261682
outro,0.0,0.0,0.0,0.0,0.0,0.9754901960784313,0.00980392156862745,0.014705882352941176,0.0,0.0,0.0,0.0,0.0
solo,0.3387096774193548,0.0,0.3548387096774194,0.03225806451612903,0.0967741935483871,0.08064516129032258,0.016129032258064516,0.06451612903225806,0.016129032258064516,0.0,0.0,0.0,0.0
interlude,0.5578947368421052,0.0,0.22105263157894736,0.05263157894736842,0.06315789473684211,0.010526315789473684,0.010526315789473684,0.042105263157894736,0.0,0.042105263157894736,0.0,0.0,0.0
instrumental,0.5985401459854015,0.0,0.16058394160583941,0.0072992700729927005,0.13138686131386862,0.021897810218978103,0.0072992700729927005,0.058394160583941604,0.0072992700729927005,0.0072992700729927005,0.0,0.0,0.0
pre-chorus,0.0375,0.0,0.93125,0.0,0.00625,0.00625,0.00625,0.00625,0.0,0.0,0.0,0.00625,0.0
hook,0.5,0.0,0.25,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
break,0.5384615384615384,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
post-chorus,0.26666666666666666,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
