,verse,intro,interlude,solo,main riff,instrumental,chorus,outro,bridge,EndOfSong,pre-chorus,refrain,guitar solo,break,link
StartOfSong,0.2741514360313316,0.6892950391644909,0.005221932114882507,0.007832898172323759,0.0026109660574412533,0.0026109660574412533,0.015665796344647518,0.0026109660574412533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.14906832298136646,0.0008873114463176575,0.01419698314108252,0.018633540372670808,0.001774622892635315,0.04081632653061224,0.5820763087843833,0.044365572315882874,0.06033717834960071,0.038154392191659274,0.03460514640638864,0.008873114463176575,0.0026619343389529724,0.001774622892635315,0.001774622892635315
chorus,0.41798298906439857,0.0,0.040097205346294046,0.07168894289185905,0.002430133657351154,0.08262454434993925,0.02551640340218712,0.1117861482381531,0.08019441069258809,0.1421628189550425,0.001215066828675577,0.0,0.006075334143377886,0.007290400972053463,0.010935601458080195
outro,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.00558659217877095,0.0111731843575419,0.0,0.9776536312849162,0.0,0.0,0.0,0.0,0.0
bridge,0.40119760479041916,0.0,0.011976047904191617,0.08383233532934131,0.0,0.03592814371257485,0.3772455089820359,0.04790419161676647,0.011976047904191617,0.011976047904191617,0.0,0.005988023952095809,0.005988023952095809,0.005988023952095809,0.0
solo,0.45,0.0,0.03,0.01,0.0,0.01,0.22,0.08,0.1,0.06,0.03,0.0,0.0,0.01,0.0
intro,0.9169675090252708,0.0,0.0036101083032490976,0.007220216606498195,0.007220216606498195,0.018050541516245487,0.036101083032490974,0.0036101083032490976,0.0,0.007220216606498195,0.0,0.0,0.0,0.0,0.0
instrumental,0.5736434108527132,0.007751937984496124,0.015503875968992248,0.015503875968992248,0.0,0.015503875968992248,0.18604651162790697,0.05426356589147287,0.07751937984496124,0.03875968992248062,0.015503875968992248,0.0,0.0,0.0,0.0
interlude,0.5357142857142857,0.0,0.017857142857142856,0.017857142857142856,0.0,0.03571428571428571,0.125,0.14285714285714285,0.08928571428571429,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
pre-chorus,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0,0.0,0.9183673469387755,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0
break,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrain,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0
main riff,0.4166666666666667,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guitar solo,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
link,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
