,verse,intro,chords,chorus,hook,coda,instrumental,pre-chorus,EndOfSong,refrain,outro,bridge,interlude,solo,break,ending,post-chorus
StartOfSong,0.2905844155844156,0.6688311688311688,0.016233766233766232,0.01948051948051948,0.0016233766233766235,0.0016233766233766235,0.0016233766233766235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.06546426185704743,0.0,0.0,0.5998663994655978,0.004676018704074816,0.002004008016032064,0.014696058784235137,0.20240480961923848,0.022044088176352707,0.014696058784235137,0.01068804275217101,0.04074816299265197,0.015364061456245824,0.0033400133600534404,0.002004008016032064,0.0006680026720106881,0.0013360053440213762
chorus,0.34375,0.000625,0.0,0.03375,0.000625,0.00375,0.073125,0.008125,0.155,0.0025,0.119375,0.151875,0.0525,0.021875,0.009375,0.00375,0.02
outro,0.0,0.0037735849056603774,0.0,0.0037735849056603774,0.0,0.011320754716981131,0.0037735849056603774,0.0,0.9509433962264151,0.0,0.011320754716981131,0.0,0.0,0.0037735849056603774,0.0,0.011320754716981131,0.0
intro,0.9209302325581395,0.004651162790697674,0.0,0.053488372093023255,0.0,0.0,0.0,0.002325581395348837,0.0069767441860465115,0.004651162790697674,0.0,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.0,0.0,0.0
pre-chorus,0.020289855072463767,0.0,0.0,0.9391304347826087,0.002898550724637681,0.0,0.0,0.0,0.005797101449275362,0.020289855072463767,0.0,0.008695652173913044,0.002898550724637681,0.0,0.0,0.0,0.0
instrumental,0.5414012738853503,0.0,0.0,0.17197452229299362,0.0,0.0,0.0,0.044585987261146494,0.03184713375796178,0.006369426751592357,0.07006369426751592,0.12738853503184713,0.006369426751592357,0.0,0.0,0.0,0.0
interlude,0.4830508474576271,0.0,0.0,0.1864406779661017,0.0,0.0,0.0,0.01694915254237288,0.025423728813559324,0.00847457627118644,0.1016949152542373,0.15254237288135594,0.0,0.025423728813559324,0.0,0.0,0.0
break,0.45,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.05,0.0,0.05,0.0
ending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
refrain,0.275,0.0,0.0,0.25,0.0,0.0,0.025,0.05,0.075,0.0,0.15,0.125,0.0,0.05,0.0,0.0,0.0
bridge,0.17073170731707318,0.0,0.0,0.5772357723577236,0.005420054200542005,0.0027100271002710027,0.04336043360433604,0.03523035230352303,0.04607046070460705,0.005420054200542005,0.04336043360433604,0.01084010840108401,0.018970189701897018,0.02981029810298103,0.005420054200542005,0.005420054200542005,0.0
solo,0.26666666666666666,0.0,0.0,0.31666666666666665,0.0,0.0,0.0,0.06666666666666667,0.1,0.03333333333333333,0.06666666666666667,0.11666666666666667,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0
chords,0.09090909090909091,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
coda,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
post-chorus,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.09375,0.03125,0.125,0.1875,0.1875,0.0,0.0,0.0,0.0
hook,0.38461538461538464,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0
