song,artist,decade,total_lines,unique_lines,total_words,unique_words,top_common_words,top_uncommon_words,neg,neu,pos,compound
happy xmas war is over,john lennon,1970,40,25,182,115,"and,a,the,christmas,so,is,one,for,year,new","christmas,one,year,new,hope,happy,lets,merry,good,without",0.046,0.585,0.37,0.9973
im not in love,10cc,1970,27,18,176,122,"a,i'm,don't,not,in,love,it,me,it's,because","i'm,love,ooh,wait,long,time,nono,mean,forget,silly",0.168,0.749,0.083,-0.9705
highway to hell,acdc,1970,35,25,203,151,"to,highway,hell,,on,the,i'm,me,3,4","highway,hell,,i'm,3,4,1,2,gonna,way",0.376,0.562,0.062,-0.9983
tnt,acdc,1970,36,20,140,118,"tnt,oi,me,your,i'm,you,the,and,no,watch","tnt,oi,i'm,watch,explode,lock,mean,women,ain't,got",0.061,0.863,0.077,-0.1596
dream on,aerosmith,1970,20,20,164,164,"dream,on,the,to,and,sing,know,you,for,i","dream,sing,know,true,got,comes,come,ev'ry,time,look",0.064,0.66,0.276,0.9861
poison,alice cooper,1970,29,16,257,139,"i,wanna,you,but,poison,your,my,you're,don't,touch","wanna,poison,touch,kiss,lips,venomous,running,veins,break,chains",0.294,0.557,0.15,-0.9957
a horse with no name,america,1970,46,26,399,215,"la,the,and,lala,no,a,desert,to,you,of","la,lala,desert,name,horse,'cause,give,i've,felt,good",0.132,0.799,0.069,-0.9749
sister golden hair,america,1970,19,12,244,154,"i,you,it,just,wop,to,can't,in,been,will","wop,can't,well,mind,meet,doo,shoo,tried,make,ain't",0.116,0.711,0.174,0.944
ventura highway,america,1970,23,15,179,122,"the,in,your,are,ooooh,ooooooooh,air,intro,riff,","ooooh,ooooooooh,air,intro,riff,,strumming,x2,gonna,joe",0.092,0.816,0.092,0.4848
how deep is your love,bee gees,1970,40,18,347,148,"you,your,to,love,me,how,deep,is,i,in","love,deep,us,really,mean,learn,'cause,we're,living,world",0.062,0.768,0.17,0.9938
more than a woman,bee gees,1970,24,17,205,133,",a,more,than,woman,i,me,to,and,my",",woman,lose,would,die,oh,say,always,baby,make",0.067,0.856,0.076,0.2006
the rose,bette midler,1970,24,24,144,144,"the,that,love,is,and,say,it,a,to,some","love,say,afraid,never,soul,seed,learns,river,drowns,tender",0.105,0.705,0.191,0.9587
