,total_num_sections,num_unique_sections
0,9,6
1,12,7
2,8,4
3,17,6
4,8,5
5,11,5
6,7,4
7,9,5
8,9,5
9,7,3
10,7,4
11,5,3
12,10,5
13,6,4
14,10,6
15,10,3
16,11,6
17,9,6
18,8,5
19,5,2
20,10,7
21,12,7
22,7,5
23,17,4
24,9,5
25,11,6
26,11,6
27,11,6
28,10,7
29,9,5
30,4,2
31,3,3
32,10,6
33,13,7
34,8,5
35,9,5
36,8,4
37,11,8
38,9,4
39,6,2
40,4,3
41,7,5
42,11,6
43,12,6
44,12,7
45,11,6
46,9,5
47,9,6
48,7,4
49,7,3
50,11,6
51,9,5
52,6,3
53,9,5
54,6,4
55,9,6
56,8,6
57,4,2
58,10,6
59,8,6
60,8,6
61,8,5
62,9,6
63,9,5
64,9,6
65,8,5
66,9,6
67,7,3
68,10,6
69,7,4
70,7,4
71,8,4
72,12,5
73,7,3
74,8,4
75,8,3
76,7,3
77,8,4
78,8,4
79,13,7
80,6,4
81,11,6
82,6,2
83,3,2
84,13,4
85,9,6
86,11,7
87,12,7
88,13,6
89,8,4
90,8,4
91,10,7
92,8,5
93,9,3
94,7,6
95,4,3
96,7,4
97,7,3
98,9,5
99,8,3
100,6,4
101,7,4
102,10,6
103,8,5
104,11,6
105,8,4
106,7,4
107,9,6
108,5,3
109,8,5
110,5,3
111,9,6
112,7,3
113,9,5
114,6,3
115,6,4
116,14,7
117,9,3
118,5,3
119,9,5
120,9,6
121,6,4
122,8,5
123,8,6
124,8,4
125,7,3
126,6,3
127,8,5
128,10,5
129,10,6
130,30,12
131,8,6
132,11,7
133,9,4
134,9,5
135,10,6
136,8,6
137,6,4
138,6,4
139,8,4
140,11,7
141,4,3
142,13,8
143,8,5
144,7,4
145,10,6
146,11,5
147,13,8
148,6,4
149,8,4
150,5,3
151,10,4
152,11,6
153,8,4
154,3,2
155,11,6
156,11,6
157,7,6
158,5,4
159,12,5
160,6,3
161,4,2
162,8,5
163,8,5
164,10,6
165,9,5
166,6,3
167,7,3
168,8,5
169,21,4
170,8,5
171,9,6
172,6,2
173,11,6
174,8,5
175,9,4
176,8,4
177,8,5
178,7,4
179,6,4
180,9,6
181,10,7
182,8,4
183,10,7
184,7,5
185,7,4
186,12,6
187,7,5
188,6,3
189,6,3
190,7,4
191,5,4
192,10,6
193,6,3
194,8,5
