,total_num_sections,num_unique_sections,Song
0,7,3,chris-isaak_wicked-game
1,11,6,guns-n-roses_sweet-child-o-mine
2,9,5,pixies_where-is-my-mind
3,21,5,tracy-chapman_fast-car
4,9,7,toto_africa
5,8,4,a-ha_take-on-me
6,7,5,the-police_every-breath-you-take
7,8,5,guns-n-roses_patience
8,7,5,elton-john_can-you-feel-the-love-tonight
9,9,4,tom-petty_free-fallin
10,8,4,prince_purple-rain
11,13,7,u2_with-or-without-you
12,12,6,bryan-adams_summer-of-69
13,9,6,bryan-adams_heaven
14,6,4,journey_dont-stop-believin
15,9,5,crowded-house_dont-dream-its-over
16,10,5,the-smiths_there-is-a-light-that-never-goes-out
17,7,5,elton-john_im-still-standing
18,10,6,poison_every-rose-has-its-thorn
19,8,4,sting_englishman-in-new-york
20,10,6,bruce-springsteen_the-river
21,9,5,bruce-springsteen_dancing-in-the-dark
22,9,4,tom-petty_i-wont-back-down
23,9,6,acdc_back-in-black
24,8,4,survivor_eye-of-the-tiger
25,9,5,u2_i-still-havent-found-what-im-looking-for
26,10,5,eurythmics_sweet-dreams-are-made-of-this
27,6,2,guns-n-roses_dont-cry
28,6,4,phil-collins_against-all-odds
29,8,4,the-cure_just-like-heaven
30,7,5,queen_i-want-to-break-free
31,16,7,iggy-pop_the-passenger
32,7,4,bon-jovi_wanted-dead-or-alive
33,10,7,bon-jovi_livin-on-a-prayer
34,7,3,the-proclaimers_im-gonna-be-500-miles
35,12,5,dire-straits_romeo-and-juliet
36,6,4,bonnie-tyler_total-eclipse-of-the-heart
37,7,4,acdc_you-shook-me-all-night-long
38,12,5,violent-femmes_blister-in-the-sun
39,12,7,richard-marx_right-here-waiting
40,6,3,men-at-work_down-under
41,4,2,pixies_hey
42,9,7,simple-minds_dont-you-forget-about-me
43,7,4,tracy-chapman_baby-can-i-hold-you
44,5,3,the-smiths_please-please-please-let-me-get-what-i-want
45,12,4,queen_under-pressure
46,6,3,phil-collins_in-the-air-tonight
47,9,4,traveling-wilburys_end-of-the-line
