,verse,intro,interlude,chorus,pre-chorus,EndOfSong,bridge,outro,instrumental,solo
StartOfSong,0.2647058823529412,0.7058823529411765,0.0058823529411764705,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.09251101321585903,0.0022026431718061676,0.03524229074889868,0.6299559471365639,0.10792951541850221,0.022026431718061675,0.06167400881057269,0.02643171806167401,0.015418502202643172,0.006607929515418502
chorus,0.32929782082324455,0.0,0.05084745762711865,0.026634382566585957,0.004842615012106538,0.13075060532687652,0.15254237288135594,0.13559322033898305,0.1016949152542373,0.06779661016949153
intro,0.952,0.0,0.0,0.032,0.0,0.008,0.0,0.0,0.008,0.0
pre-chorus,0.05084745762711865,0.0,0.0,0.9152542372881356,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0
outro,0.0,0.01098901098901099,0.01098901098901099,0.0,0.0,0.9230769230769231,0.0,0.01098901098901099,0.02197802197802198,0.02197802197802198
bridge,0.27450980392156865,0.0,0.058823529411764705,0.38235294117647056,0.00980392156862745,0.049019607843137254,0.00980392156862745,0.058823529411764705,0.029411764705882353,0.12745098039215685
instrumental,0.4915254237288136,0.0,0.0,0.22033898305084745,0.0,0.05084745762711865,0.13559322033898305,0.0847457627118644,0.0,0.01694915254237288
solo,0.3617021276595745,0.0,0.0425531914893617,0.2978723404255319,0.06382978723404255,0.0851063829787234,0.0851063829787234,0.06382978723404255,0.0,0.0
interlude,0.5833333333333334,0.0,0.0,0.10416666666666667,0.0625,0.020833333333333332,0.0625,0.10416666666666667,0.0,0.0625
