,intro,verse,pre-chorus,chorus,outro,interlude,EndOfSong,instrumental,bridge,solo
StartOfSong,0.7065217391304348,0.2826086956521739,0.005434782608695652,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.0,0.9548872180451128,0.007518796992481203,0.03759398496240601,0.0,0.0,0.0,0.0,0.0,0.0
verse,0.0,0.08523908523908524,0.1101871101871102,0.6860706860706861,0.010395010395010396,0.014553014553014554,0.02494802494802495,0.02286902286902287,0.04158004158004158,0.004158004158004158
chorus,0.0,0.3135593220338983,0.006355932203389831,0.019067796610169493,0.1483050847457627,0.059322033898305086,0.125,0.11440677966101695,0.163135593220339,0.05084745762711865
interlude,0.0,0.4883720930232558,0.0,0.20930232558139536,0.046511627906976744,0.0,0.046511627906976744,0.023255813953488372,0.11627906976744186,0.06976744186046512
bridge,0.0,0.24369747899159663,0.04201680672268908,0.4369747899159664,0.09243697478991597,0.03361344537815126,0.04201680672268908,0.06722689075630252,0.008403361344537815,0.03361344537815126
outro,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.9791666666666666,0.0,0.0,0.0
solo,0.0,0.24242424242424243,0.030303030303030304,0.36363636363636365,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.15151515151515152,0.0
pre-chorus,0.0,0.08064516129032258,0.0,0.9032258064516129,0.0,0.0,0.0,0.016129032258064516,0.0,0.0
instrumental,0.0,0.5205479452054794,0.0,0.2054794520547945,0.0547945205479452,0.0273972602739726,0.0,0.0136986301369863,0.1643835616438356,0.0136986301369863
