,total_num_sections,num_unique_sections,Song
0,10,2,jeff-buckley_hallelujah
1,9,5,oasis_wonderwall
2,7,4,radiohead_creep
3,12,6,oasis_dont-look-back-in-anger
4,7,5,the-cranberries_zombie
5,10,5,4-non-blondes_whats-up
6,11,6,goo-goo-dolls_iris
7,12,5,nirvana_smells-like-teen-spirit
8,11,6,green-day_good-riddance-time-of-your-life
9,12,8,r-e-m-_losing-my-religion
10,6,4,extreme_more-than-words
11,9,6,radiohead_karma-police
12,8,4,eric-clapton_tears-in-heaven
13,8,4,fools-garden_lemon-tree
14,9,6,radiohead_no-surprises
15,19,6,red-hot-chili-peppers_californication
16,7,5,nirvana_the-man-who-sold-the-world
17,12,6,red-hot-chili-peppers_otherside
18,7,4,aerosmith_i-dont-want-to-miss-a-thing
19,8,6,red-hot-chili-peppers_under-the-bridge
20,11,7,scorpions_wind-of-change
21,8,5,guns-n-roses_november-rain
22,12,7,the-cure_friday-im-in-love
23,10,6,green-day_basket-case
24,5,3,mazzy-star_fade-into-you
25,9,6,sixpence-none-the-richer_kiss-me
26,6,5,radiohead_exit-music-for-a-film
27,12,7,natalie-imbruglia_torn
28,8,3,r-e-m-_everybody-hurts
29,9,5,nirvana_come-as-you-are
30,28,8,oasis_champagne-supernova
31,7,4,counting-crows_mr-jones
32,8,3,radiohead_fake-plastic-trees
33,5,2,pearl-jam_black
34,9,5,eagle-eye-cherry_save-tonight
35,5,3,neutral-milk-hotel_in-the-aeroplane-over-the-sea
36,10,6,nirvana_lithium
37,6,2,smash-mouth_all-star
38,8,4,alanis-morissette_ironic
39,10,6,nirvana_polly
40,2,1,alice-in-chains_nutshell
41,7,5,oasis_half-the-world-away
42,9,5,foo-fighters_everlong
43,4,2,neil-young_harvest-moon
44,6,3,sublime_santeria
45,8,5,mr-big_to-be-with-you
46,9,5,oasis_live-forever
47,10,7,semisonic_closing-time
48,10,6,tenacious-d_tribute
49,8,5,radiohead_high-and-dry
50,9,4,tom-petty-and-the-heartbreakers_mary-janes-last-dance
51,7,4,soundgarden_black-hole-sun
52,12,7,weezer_say-it-aint-so
53,5,3,nirvana_something-in-the-way
54,5,3,sting_shape-of-my-heart
55,10,5,blink-182_all-the-small-things
56,6,3,pearl-jam_last-kiss
57,8,5,no-doubt_dont-speak
58,11,6,the-smashing-pumpkins_1979
59,9,6,bryan-adams_everything-i-do-i-do-it-for-you
60,8,5,phil-collins_youll-be-in-my-heart
61,7,5,oasis_talk-tonight
62,10,5,r-e-m-_man-on-the-moon
63,8,3,incubus_drive
64,10,5,bon-jovi_bed-of-roses
65,5,4,the-cranberries_dreams
66,10,6,nirvana_in-bloom
67,9,6,foo-fighters_learn-to-fly
68,10,7,bon-jovi_always
69,7,3,bob-dylan_make-you-feel-my-love
70,15,5,red-hot-chili-peppers_scar-tissue
71,6,4,bonnie-raitt_i-cant-make-you-love-me
72,4,2,marcy-playground_sex-and-candy
73,8,6,blind-melon_no-rain
74,10,7,queen_the-show-must-go-on
75,10,5,eraserheads_ang-huling-el-bimbo
76,10,3,deep-blue-something_breakfast-at-tiffanys
77,8,4,third-eye-blind_jumper
78,13,6,tom-petty-and-the-heartbreakers_learning-to-fly
79,9,4,hootie-the-blowfish_let-her-cry
80,10,6,nirvana_rape-me
81,6,4,foo-fighters_my-hero
82,7,5,oasis_shes-electric
83,9,5,bush_glycerine
84,15,7,the-wallflowers_one-headlight
85,11,4,the-verve_the-drugs-dont-work
86,3,3,sonicflood_open-the-eyes-of-my-heart
87,7,2,sting_fields-of-gold
88,8,5,the-cranberries_ode-to-my-family
89,11,6,stone-temple-pilots_interstate-love-song
90,6,4,the-smashing-pumpkins_disarm
91,11,5,the-las_there-she-goes
92,8,4,the-verve_bitter-sweet-symphony
93,8,4,tom-petty_you-dont-know-how-it-feels
94,9,5,u2_one
95,7,5,george-harrison_isnt-it-a-pity
96,10,5,joan-osborne_one-of-us
97,9,6,eagles_love-will-keep-us-alive
98,5,2,blink-182_adams-song
99,8,4,nirvana_drain-you
100,7,5,parokya-ni-edgar_harana
101,7,5,sublime_badfish
102,13,7,oasis_whatever
103,7,5,lonestar_amazed
104,9,6,the-smashing-pumpkins_tonight-tonight
105,5,3,live_lightning-crashes
106,13,6,the-verve_lucky-man
107,9,5,the-connells_74-75
108,7,4,edwin-mccain_ill-be
109,5,5,nirvana_pennyroyal-tea
110,11,6,metallica_whiskey-in-the-jar
111,9,5,alanis-morissette_you-oughta-know
112,7,4,pearl-jam_elderly-woman-behind-the-counter-in-a-small-town
113,4,2,nirvana_lake-of-fire
114,11,6,duran-duran_ordinary-world
115,7,3,fastball_the-way
116,9,5,eraserheads_with-a-smile
117,10,6,rivermaya_214
118,10,5,aerosmith_crazy
119,9,6,stone-temple-pilots_creep
