,intro,chorus,verse,bridge,refrain,pre-chorus,interlude,instrumental,EndOfSong,outro
StartOfSong,0.7345132743362832,0.035398230088495575,0.23008849557522124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intro,0.012195121951219513,0.036585365853658534,0.926829268292683,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.0,0.0
verse,0.0,0.636734693877551,0.036734693877551024,0.053061224489795916,0.012244897959183673,0.19591836734693877,0.024489795918367346,0.024489795918367346,0.00816326530612245,0.00816326530612245
chorus,0.0,0.011764705882352941,0.32941176470588235,0.16862745098039217,0.01568627450980392,0.0,0.06666666666666667,0.10196078431372549,0.1607843137254902,0.1450980392156863
bridge,0.0,0.5970149253731343,0.1044776119402985,0.0,0.0,0.029850746268656716,0.014925373134328358,0.029850746268656716,0.08955223880597014,0.13432835820895522
outro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.017857142857142856
interlude,0.0,0.3333333333333333,0.5416666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
pre-chorus,0.0,0.9215686274509803,0.058823529411764705,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0
refrain,0.0,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0
instrumental,0.0,0.030303030303030304,0.6363636363636364,0.21212121212121213,0.0,0.0,0.0,0.0,0.030303030303030304,0.09090909090909091
